,features_string_format
2631,dios miyo namakabalik dilawan
2141,issue matagal samagiot deley ata dating
1042,nakapag travel ibat ibang bansa kakaloka char
1974,tanong mahal bilihan ngayo inport ibang bansa sibuyas kinawawa magsasaka pls pakisagot
254,tamang
2451,alam boong pilipinas kalidad money wag
1934,hahahahhaha nagpaparamdam nanay lenlen
1359,sumalo onionbuquet
347,mas makakapahinga bus masmalaki matitipid bus pauwi bicol
2998,hesus maria jose !!!
2125,leni lugaw
2044,sasakit kalooban pinklawan nyan lods
1755,san reaction vid ready love
2038,admin pabor dilawan nsa coment section puro bbm suporters outch
2856,asa
1876,nagday driver
414,correct sasakyan public publisity
50,solid neto bam aquino fan esports since dota days
1797,wow player bam
1904,ngawa pinkiss
597,nice one idol
2272,halatang gawain hunyango
2909,answer corrupt
1006,beauties beasts
1787,aluminate real
1732,masaya malungkot .... masaya wala founder npa malungkot rrspeto tao
641,thankyouu supporting mlbb community
859,bbm sarah solid
2470,mandarambongbong
827,idol kaso ayaw nang lawyer pera pera
693,best christmas gift ever
171,proud proud anak
2306,spokesperson nia liar rin
1815,kala butters
1013,maharlika investment indi wealth
111,since day esports advocate bam
2541,monkey
442,best xmas gift ever hehehe
2051,mapunta taning ulit kilusan
624,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
671,idol boxing
2817,buti pansine kuda kuda presyo sibuyas kayo talagang millions patawa
2012,dont tolerate wrong
84,correct convince sara aral tapusin nasimulan
1111,!!!!
2155,natatawa tatlong wala bang
724,best xmas gift ever
1779,diba talino
1186,pasok
2296,luquhon saderi manang saderi manlang ino2
222,salamat
716,mas makakapahinga bus masmalaki matitipid bus pauwi bicol
2900,ahahahhahahahahhahahahhahahah ansakit chan hype !!!!
377,salamat
1770,niere look
1257,yes tama
300,thnk lord
717,tama maharlika fund
530,saya saya yaho
856,bam fight ipag manindidigan gayahin nonoy
918,pbbm forever
1918,alam pra masabi maka masa
24,bam aquino author free tuition state university
1843,wag idamay gsis
2831,maawa kayo pilipinas
1719,bam bida dyan bam title
1147,san kau cya nagpunta ngyon lodz
544,bam maraming salamat supporta liga esports mabuhay kayo padayon
2683,mapansin hindi napapasin ingay
385,tama mpabyaan aaral
2004,drama arte
2741,kilala yang lutang nayan lods
2057,answer bobo
212,bbm sarah solid
1984,tapos prrd pumirma hnd pinirmahan pinsan antagal kasama iisang administrasyon budget
1041,laborer
1351,gadon sakalam
1012,dota nanunuod bam aquino
1592,hahahahhahahaha
2560,akala mananalo mar dati binalak
1526,show ika
1474,comment silbi secretary
897,sana presidente pbbm ngyon nalaman totoo
2855,gumaling galing kris
1654,katropa sasabihin
1000,research abt wla aus paliwanag wala alam nakasulat dmo binasa bulagbulagan hnd member
467,nanggaling pension dba kinita investment
2041,kagagawan side cory yellow evil binabawian cla inuunti unti sunod nyan naniniwala yellow evil advance rip
633,idol
1657,fact
2252,tanga maninila jan nanay lenlen sana buss
243,solid bbm nasayang
2943,liar
1948,cap
1623,sbi bah
2957,fake mas alam pamilya tax issue
2447,wala maisip
1406,lawmakers time law breaker
317,pogi mark
1128,ambot imo
2285,marcos magnanakaw
847,true agree parang magic yong kauupo solve agad problema pinas
2912,taga mars
2060,kaninong side laging babanggit tallano gold yun umaasa
658,forever pink
685,duterte sakalam tunay malasakit
2399,puro fake news tong fenklawans
2619,wala kna bam
2052,aasahan pinklawan edi komontra komontra natalo
1007,nalang kinocompara mahal sine pambili nlng ulam bigas hehehehe
2079,bayad buy ayy este banat bay
2937,kinarma pumangatlo hukay
2335,great pretender
2793,dilawan tactics since 1965
1353,guys hindi nanan konsintidor bata sana nakaka vote use vote wisely
945,ninoy hero true filipino love country much sacrificed life like rizal martyrdom
2634,layo ganda kaptid nyang disiplina
1523,bbm malakas
2603,agnas
409,pinakamalaking ambag esport scene pinas alam thank bam
1244,atty gadon pasok
2416,iyak
762,namamasko
2182,plastic nanay len2 hehehe
2611,lutang idol
2931,pakitang tao nnmn lugaw hayy nku wag kmi kilala nmin papansin lutang
1919,olats
1727,solid bbm sarah gawa larong pang brainwash filipino ibentang marcos matagal laro
972,congrats bam good job
2048,madaming nakinabang pera kya pinag kaisahan marcos kht abugado media bayad gnya kadumi batas pinas kasabwat kano dyan
1457,nagpapapansin next election leni
654,yahopoo
1543,leni kiko talo
2240,dreaming
1917,tao tau naintindihan amores tau
2131,years namuno dilawan nahubaran maskara d30 nagawa tulay ilog
2217,kayong bumangga pader sara du30
232,nice nice
2776,gun utot joma mark
2003,tama lutang tlaga cla
605,ayos bam mas mabibigyan pansin lalo esports
2106,lenlen suporters pkitang tao nanay nio pinas nagbabus ibang bansa sariling sasakyan hnd bulag noh suswla mauto
1234,pogi bambam kagabi ugh
1873,balik gawi nanay omepik style pra mka relate charroot nanay
629,god bless bam
2647,malalapit halalan
1760,mima
743,bam staunch supporter esports video game development industry philippines search niyo time ambag esport
1897,ganun nmn .... gold bas pnoy ala mabawi yun
2871,kinginang marimar halatang photo ops sana inayos man hand placement martilyo
120,god bless mam isiniswalat katotohan hanggat malusog kpa maganda pra mgkaroon enjoy kna peace harmonious family
2653,ewan sayo bambi este bambam
1746,bam nakalusot
151,like bam
1024,afk
1583,diba cong sandro cong romualdez nagprincipal author house bill 6398 mapanlinlang maam ces
1769,sobrang saya proof dead tlg nmn niloloko nnmn tau makakaliwa
786,support bbm
2650,sos pati pagka matay pulitika respito nlng sana pamilya namayapa tsk tsk
1308,mam miss meeting
2688,commute nmn body guard ksma bus mas malaki gastos convoy payan
128,mabuhay bam !!!!
2074,pinklawan kayo napapagod
1690,bat ganun lakad parang lakad maayus
113,huh anong reasoning kapanipaniwala namang nagbubus pang naga jusq koya
2331,bigyansya nang gun salute hindi deserving nuh tingnan natin nandun
2467,answer corrupt
1813,isip
259,bam kayo nalang magpaganda tournament stage mpl hahahahaha
2321,iyak years nmn silng tambay
366,korek idol
1285,surplus pano nalugi
2346,patay nba updated mark kilala sure lutang mong kilala
2621,ganda jwk lodi bka aabot 2028
1771,hahahahahha yowo
2577,kin inam
1926,namimis rin nanay huling video kanilan tinuraan gas ibang bansa
1716,brain
117,free tuition college bam yun sinasabi trolls
2368,drama lagenngaround world wlangcar impossible madrama mapag pangap shes fake person
2018,hesus maria jose !!!
2983,yng tumututol ayw yumaman pilipinas
1519,parang galaw nia scripted tas nakikitaan authenticity
2656,ans bobo
1653,kilalaning pamilya yayaman
2974,mute academic kaso nkatakbo ibinoto million kna umasa atty taeh balik law school majority
881,leaning towards youth halos support bam
2646,wla nang delawan maka balik
1207,alam nmn lenlen artista
2297,sinuksuk daliri madumi
1582,musta mark
429,tama boss
2186,buti maniwala inyo dnila nkita ugali
1318,magbabus papunta amerika mas mawa pambili mamahaling bag tapos
93,idol
10,agree 100
2423,nagpapahalata iyakin 5yrs ayy
2659,madaming nakinabang pera kya pinag kaisahan marcos kht abugado media bayad gnya kadumi batas pinas kasabwat kano dyan
1961,anu
2009,pretentious leader ....
872,galing joke
1751,sumakay wala bang nagpicture masa loob bus yun nakavideo nasa loob bus
1252,nangyari kawawa member gsis kmi nmn budol
998,free tuition college bam yun sinasabi trolls
1271,tres flower
778,since dota days bam thanks always supporting esports philippines
2129,pinklawan
652,good riddance
1685,bat biglang nagtago tong bam
2572,great pretender
1432,ngaun wala paren kaung kadala dala
2087,lenlen suporters pkitang tao nanay nio pinas nagbabus ibang bansa sariling sasakyan hnd bulag noh suswla mauto
83,bbm sara win
595,slamat bam
2192,kakampinks malabo patis labo manalo
227,alam pinagdadaanan tao tayong kakamali wag manghusga
531,pagkakataong magbago amores
822,hail yehe
2207,iyakan kau
2774,tee
1636,sniper
2008,nlng lods nagbus noong cya alam meron tlgang prob pagsakay bus
1215,kinocondition years maxadong excited afford plane europe bus papuntang bicol
223,tama mpabyaan aaral
1736,ayaw gumamit sasakyan earth plastikan akalain aantay bus hindi waiting area
1495,maalis muna corrupt officials corrupt mahirap magtiwala mayaman sana bansa corrupt
2504,paawa effect
1896,family goal
1423,bam esports
604,huh anong reasoning kapanipaniwala namang nagbubus pang naga jusq koya
1585,damgo
2255,pahingi away showing staring lenlen
440,foi bill transparency none gain trust thats answer transparency forms
1490,mahal sine daming tipid
1573,proof patay
2904,tama accla
594,honorable people indeed put full trust
2113,naku sana pauwiin pinas bangkay ilibing dun libingan bayani
2981,fake hero
1588,alam pirmado agad
649,madaya apektado kabuhayan pilipino
2762,pretender
382,wala bang car dba galing vacation abroad tapos bus
2112,dilawan hindi rin maka move
1173,sumanib atom rissa coco atb
612,sinab ing road trip bus idol
2278,noto dilawan
2518,usual dilawan pinklawqn madre pari hayss
82,tama idol
1880,pesos facebook account
2922,pasikat kamo
537,idol mark musta naic cavite
2581,bus nka louis vuitton kpwa lokohin bentang benta yang ganyan
1938,plano palang ganyan bam ???
810,mam imelda said divine justice waited patiently god made possible marcos back years sttonger ever
2365,ganda jwk lodi bka aabot 2028
1688,photogenic
349,hail yehe
1798,ibebenta sasakyan
1066,duterte sign law pnoy hindi priority maraming private school maapektuhan
2088,korek nakakatuwa nganlangbisipin anu ngat gan kuya noh wawawa
2213,feeling relevant ampota
1243,pam bam
2927,tanong paba
130,suportado bam
1626,tska bus laging stop
2923,pinklawan kayo napapagod
167,bbm solid
780,korek kuya mark nagtataka gingawa nakaupo dami kontra kaloka wala silang magawa puro kontra hays
2017,naku kaduda duda magpaplano nyan
2099,siguro malakas mambwisit hindi uubra
8,god bless mam isiniswalat katotohan hanggat malusog kpa maganda pra mgkaroon enjoy kna peace harmonious family
60,fan thank supporting community
1518,first mpl tapos puro trashtalkaj agad saya niyan
1310,nnmn uusapan next live
622,bsta kmi mulat mata nmin
2468,salot
1009,inang lenlen masaya kayo
1909,daming ganap mama lenlen
1081,early
102,proudforever kakampink solid leni
2397,batang isip guanzon ganyan asal abogado
1465,tanas
1032,syempre defence mechanism bro
192,respect
80,shawe nadali kakie
285,ayos bam mas mabibigyan pansin lalo esports
1303,syempre
1321,ksp kse
1578,300 hoping win
1295,bbm binoto hindi nanood sine hindi mahilig manood sine
1154,grabe tlg reklamo agad man isipin muna haist
2877,nakakatawa tsaka judge tapos term dmi namng salot banda kontrabida
2251,wla nang delawan maka balik
1177,namatay ninoy lumabas cory namatay jessie lobredo lumabas lenie
571,namn ulit sinulatan sarah kinukunsibti wag malugmok yjng tao yun wag depres
1037,"tama ...,"
401,thank bam
1969,parang naka lazy boy seat bus
2084,ayaw mali pangulo hirap
960,supporting esports bam
548,wla mgbabago bbm tlga mgbabago
343,never happy
1981,hindi gets mkkuda siempre
1099,sana .....?
962,alam kala paepal since dota days nagsusupport bam
2902,ordinaryong tao big deal bus tawag dyan papansin kunyare pang masa tau sasakay pakulo nyan
843,salamat suporta esports bam start gamers
1229,2016 yun effect fpgma
37,nice gamer
206,agree 100
360,basta bbm rin magbabago
849,mahigpit yakap forever kakampink
7,wow supporting sports thank
1123,buhay nabigyan adrenaline
1642,ekis
2135,kano bayad sayo ???
164,tam jan lods
616,correct !!!
2938,hindi pension gagamitin sobrang budget hay naku
2445,nabubulok
1476,answer election
1668,kurty crab
1723,simple logic lodz nagsimula simpling buhay maka masa dawkailangan magsimula invest makuha sympatya nang public
1338,hnde cia aantay kalsada dati
2778,liar
2799,yata 2028
1501,penge pang skin aquino
2844,wala silang ibang maisip
2312,hypocrite
541,bbm president
759,yes ipagbunye
2146,basic manila baguio 6hrs nku lugaw wala maloloko nlng
1205,duterte free tuition patawa
2584,ambot ninyong upat
1924,malayo kampanya
1902,sasanib raoul manuel !!!
2947,answer inudoro
2733,asaka olat nmn
2667,nxt drama mark bike galing bicol manila pautot mamao panis
327,bbm sara win
107,sisisi nasayang boto pbbm
935,thank supporting
824,tama lod umaasa
988,thank send bam dota esports wwlang kupas supports
520,salamat
2608,kano bayad sayo ???
1222,election correct wrong
2495,magpakaarun ingnun bisaya
2905,anuano pinapalabas wala magagawa hindi mapapabagsak pamilyang marcos
2613,mabubuang jud pinas ganyan
1999,atty wlang sasakyan nakakapagbakasyon ibang bansa wlang pambili sasakyan impossible
324,best tlga bam naka supportive esports team player lalo international game
1238,bam bam lumabas hays
2151,tanga ?!?!
532,proudforever kakampink solid leni
1187,savage
1967,new hair madam intro
2543,nagminatay nmn gani kris dadamay
4,tama lods bsta cla
1595,forda drama
2758,wag nakakatawa tlga kau dyos lord never never
2867,hinuhuli nah
1866,bam dis
1132,political stint alams ending
1417,prouder coz !!!!!
2769,funny
1026,wag nyu pansinin pinapansin lalo magwawala hayaan nyu bata tahan
1108,50pesos
1709,penge kame pangnood sine
240,hail yehe
2879,hindi bilib
2952,kesa aquino fund pautang ibang bansa interest
893,enters kayamanan tatay madaling makuha madala dto bansa maitulong nasa mahihirap
2944,time bam maganda ekonomiya rin tinuloy dami palang tinuloy
740,sana bigger venue finals took minds stress lalo ksagsagan pandemic
2236,tanga tanga
2295,ordinaryong tao sasakyan tpos congresswoman sariling sasakyan kalokohan tigil tigilan kmi santa leni wag
2195,epal moves
2070,orocan
2441,naloko
2267,basta nakakatawa nalng mangyayari
2810,bida lenlen
2354,repair sakalam
2779,dilaws sinabi enrile pineke assasination maniwala dilaws sinungaling yang enrile
2039,heheheehe yayamanin yarn
169,totoo convicted criminal liability already served payment penalty
2280,maghirap tlga pilipinas
1608,aahh alam kuna sagot iyak
691,totoo convicted criminal liability already served payment penalty
830,mabuhay pilipinas god bless philippines marcos
523,tama lodz
620,airport mnl naga mnl daraga albay daraga naga takes 4hrs mas komportable bus
1533,kala seryoso matagpuan
2443,bam komunista aquino
1133,yellowish
2662,drama queen
2457,naku sana syang sumanib lutang
1354,panay abroad tapus sariling sasakyan niluluko nitong leni trip
1632,publicity alam lutang nayan naka tapos nagbus
2110,orocan
857,stayed blacklist tnc game mas wild tao supporting esports scene
33,sinab ing road trip bus idol
274,sumakay bus mananalo susunod eleksyon
1487,kala paalam
2328,tumindig nlng kayo ukraine bagay kayo sakali maawa putin iyak nio
403,wow supporting sports thank
2822,mahina kris literal
2299,bam kwenta
1912,uwi kau miss kau rowena guanzon
698,yes ipagbunye
948,game
1156,ngpapapansin akala cguro nla mkukuha nla mloloko nla tao sorry laos style basang basa kau
1714,2nd
734,met joma kid know joma gave fruit
953,salamat suporta esports bam start gamers
621,love song much !!!!! kinda song start yourr day beautiful
2383,san interview enrile balita ininterview napagtanggol enrile srili
2461,boss kasama pupuntahan maaga wala palng nagawa
381,maganda nang marcos hintay umpisa palang mas lalo kang maingit tapos hintay wag magmadali
1436,indi hinatid
79,advocate bam esports important propagation esports scenes
236,godbless philippines
553,bam great job organized ignites volunteerism heart rich poor filipinos mock cant deny
2716,kpg pinklawan kuda kuda pra manira mgtwala cong sandro alm nia gngwa nia
480,way alam story
1054,tas infra sasabihin
694,hope get
770,support bbm
2655,lutang ??? yong tumakbo president hindi alam isla phil leni .???
2248,inodoro ikinabagsak
1408,duterte nakaupo lalabas anak bonjing
77,jusko bam nasa timing nasa bear market global market naka discount
904,salamat
158,correct sasakyan public publisity
316,saya sayasa jollibee magaalmusal mmya work
421,tama taong tapat mapagkakatiwalaan
100,supporting esports bam
2394,korek akala bobo rin mamayang pilipino tapos galing tour
1190,galit kakampinks bam aquino galing idea
2417,aquino sinungaling kinakarma
867,yehe sapagkat bbm nakatadhana
950,magandan xmas gift
790,godbless philippines
660,supporter thank supporting esports community
1748,nagtitipid mkita taong bayan short pkitang
1114,nagwa aquino magdakadak
502,diko parin alam natalo bam diokno higit mas magaling nanalong senador
1584,hello garci yuta
1869,krazy angkas
1624,kasama 31m ala budget kase mas important pangangana nakaka luwag nmn tumatanggap kind merry chr
1418,sanaol ligtas
2624,pamilya aquino pumtay
1189,nandyan parin alipores wag muna kampante
2700,ayaw mali pangulo hirap
1754,walastik troll moments hahahahahahaha
1109,bert tawa marcelo
1368,meron man agenda whatever good bad respect natin trip
1107,compliance
785,back back negative gdp inflation tinaas dolyar peso inutang noong tinaas gumanda
1806,kkunwaring bbm supporters pinkish
2854,nxt drama mark bike galing bicol manila pautot mamao panis
1853,bam rank game
2377,malkas manumbat
565,basta gumaganda bansa ngayun pbbn
1293,last man stand
426,looking young handsome bam aquino
1499,rip nalang
2147,mapagoanggap
2828,plano ninoy vedio takbo gunman punta ninoy buddy guard halata
690,confirm wathdraw manny president antay kayo salute manny hari boxing
1018,alcohol cologne nawa palaring manalo
2955,aabot
2578,hihihihi kya len len kawawa ksi cnunod nia bambie hihihi
1952,sulit boto lods kxe dinasila mkamove
910,korek idol
1062,yes
699,yes bbm sarah solid
1350,tama tukayo
483,thank free tuition every university nakaipon magulang pangpagawa maliit bahay probinsya
1728,wala nay magpailad rong panahona
1212,mam alcohol cologne
1985,trabaho .... bbm
2626,natatanga sakanila totoo
1783,reliable source gsis hindi sinusino nagsasabi pension contribution natin gagamitin
257,mam imelda said divine justice waited patiently god made possible marcos back years sttonger ever
1531,batas
239,thank support ing community god bless
233,tiktokerist
19,great president philippines
1239,lights camera action nanay len pabili orocan
1664,tlaga nmn kokoda wla nang gosto bsta ikagaganda bansa ntin
2476,banat bay knaiinisan
1894,wag kang magalak pagka kaaway nabubuwal kasamaan nia dios nmn mananagot magagawa natin ipanalangin natin
1508,ginagamit nanaman lumang tiknik
2455,terrorista joma
1449,itulog
41,tama lod umaasa
1292,answer vegan
2224,rin sorry
2471,makalusot
2899,traydor yang ninoy halaga sinoman pumatay
1360,norberta amo
1558,apolo10
1245,hehehe
2840,asus ngsalita
1251,sanay sanay
460,ipinapakita safe magtravel pinas prrd pbbm
121,thumbs idol
752,investible funds gsis kukunin hindi mismong pension mas right timing iinvest perang bear timing
357,proud akong ipaglaban bbm nanalo
534,president maam leni love poh ingat palage god bless
1260,nge
942,yahopoo
673,nakakaalam baam aquino senador dati support esport community pinas
2921,tama nauuso yun cancel culture created pinklawan
2941,hindi pension gagamitin sobrang budget hay naku
2546,katangahan
2585,qualified baba
2298,obvious pinkish
983,yes shes one president president 17th president philippines
1168,aga nman nangampanya lenlen
1136,wheels bus
1900,ramos lods pede kmi lumapit sayo charity nmin girls orphanage pamp sana mapansin salamat godbless
710,ehh patas
1864,paulit ulit nlng
973,boboto tony election
645,salamat
1363,kala bam aquino
922,ganda kanta bagay bagay
2316,cla pagtatawanan flood nnmn memes nian sure
2591,taena pinalabas sniper tumira yun ttukan tapos isisi marcus tunay nagpapatay wangko cory
457,thank sports advocate bam
1631,letg
1574,meron jan kumain baso uminom plato
2369,wala kris 2028 haha sakit teh
1669,lenlen presidente
2064,pansin nanay lenlen paawa 3pek
2227,nope
1765,len len ewan
579,pahumble
173,anjan nanaman idol
1115,kitam
848,even fan aquino thanks supporting esports since dota2 makakuha visa pinoy team
2094,pakitang tao tumagal buwan
783,loyalista marcos loyalista marcosduterte ilocos region
1816,tnt
1486,tagal pinapasa batas mangayan nakakasira tao imbesna makabute
2752,pic tpos post
2259,yup version bam national budget kukunin hindi pensioner gaya
186,morning mark merry christmas
1277,rip
1196,okie lets thing victims mendiola masacre shall
30,yahopoo
2988,bida bida tlaga tong len len paawa effect
946,grabe mark realtalk
220,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
1372,tapos kalagitnaan highway pumara makakakita gitna hiway pumara hindi terminal
1506,kol away kaaway buhay samantala kilala amores tao sinaktan
1903,abangan nating susunod chairman babae
463,never happy
1494,pakitang tao malayo election
380,thank supporting mpl thank pinatalo leni
1031,apaka
682,bam dont like time comes support youve esport community impressed !!!
348,leaning towards youth halos support bam
2166,naiintindihan dds trolls
2386,kaputanginahan
2357,great pretender lalakas photo ops pwe
2081,nagagalit hindi part atty leni govt trysikel kariton pera gamit
1647,cartoons
1670,pesos frank mendoza perfect pang meryenda takoyako swak pang negosyo
2596,obob know
64,thanks support
90,thanks
1158,masama bill rather timing people behind
1858,pacute
1958,kuya dami magagalit sayo nyan gwapo kapa heheheh
2740,papalit joma lutang
472,pinakamalaking ambag esport scene pinas alam thank bam
1087,tawagin carpio
1281,basta bise presidente inday sara sakalam
2498,yup version bam national budget kukunin hindi pensioner gaya
2534,kala mark tahimik
496,ayos bam mas mabibigyan pansin lalo esports
2999,umattend bbm wag subukan makipag debate dika mapa ahh
1546,birhen lenlen
370,angas
2201,papansin
1467,ulit kayu wag
1053,sna sgautin mdmi ksi ngssbi nabudol sla msasbi lods
732,galing bam aquino
753,jan napa follow
941,yes bbm sarah solid
586,ninoy hero true filipino love country much sacrificed life like rizal martyrdom
1241,husg kau magumpisa mnira igalang pagkpanalo
921,since dota days bam thanks always supporting esports philippines
951,former bam aquino naghehelp man esport players natin makasecure visa compete internationally
2617,naku ..... bobo tao ..... halos alam tlga sakit noynoy aquino .....
519,congrats bam good job
2525,gagawa sariling impyerno kukumpitensyahin taning
2538,payaso bam
1840,brad photo
72,nice one idol
1598,design mamamink
570,astig bam
2925,cge subukan nyong ipain tao hindi kakilala kang ina itinuring tapos ipapahamak anak
2127,hangat yellowpink hindi mawawala magnanakaw
1344,karpentero
2681,mental gymnastics
1185,malapit election
2718,mapagkunwari
1103,nagsama
2367,parang naag iisip rin magnanakaw marcos inisip thanks god pbbm pres
2274,kinarma pumangatlo hukay
1731,nangangampanya lenlen
1153,answer pesos sagot hoping win
2474,hinuhuli nah
5,lets senator bam
1516,pamilya cuangqo
1575,vote manny dept water spokesperson
626,tama
2168,pakawala bbm bam aquino loob partido leni anay pugad anay leni queen anay
358,salamat tigil ninyong pagsubaybay maam leni anak
464,totoo merry merry christmas
262,idol kaso ayaw nang lawyer pera pera
2340,repair sakalam
2391,"tao ,.."
2409,plastic !!!!
2323,inomka pang patulog
284,sana presidente pbbm ngyon nalaman totoo
478,maganda nang marcos hintay umpisa palang mas lalo kang maingit tapos hintay wag magmadali
1376,akala nla maano tao maraming pupunta dun
819,diba nanalo prrd maygkaka martial law ulit nagkaron marawi kaguluhan tumagal matagumpay afp
1334,pamasko
1569,mang dodog show madam
1270,totoo sana
916,bbm sarah solid
1451,bbm humahabol tawa kayo daming sinasabe etc etc anu nadarama
869,supporting esports bam
224,cool
1831,trabaho
2562,tanong paba
2993,patay pla
2436,pasalamat kayo naniwala sayo bbm nagbahay bahay naku zero vote
2301,makinig kau mabuti lalo wala alam kuda kuda pwd libre search
804,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
1637,alcohol cologne panalo negosyo
2035,bangkay wala noynoy wala ding bangkay
793,always supporting esports thanks bam
1290,meron naka encounter tyo lawyer lutang
466,pinakamalaking ambag esport scene pinas alam thank bam
458,tama kayu
2873,one talking fault every presidents except marcos
966,senator supported esports since dota2 days
2469,wrong timing hindi pinklawan nakaupo nyaha
1697,ipakita mukhang makamasa simple tao kuno
2250,show shempre
1010,peso
1397,hyttss
2563,loko
908,well said
1975,lam bambi member lgbt hayaan hindi alam dasal kaluluwa namatay
2419,juice coh
1309,become nagbubus province manila natigil
689,kaumay lage nirerelate million tao nmn tlga sinmahilig movie hehehe
2672,bagay ganyang trabaho ganyang nlng trabaho naka tulong
161,dyan susuportahan kita
320,tamang
1856,kunyare yun
2488,agawan trono taning
1469,permanent address ksi
2579,trying hard
1830,palitan
59,tunay liwanag nagdudumilat 31million
2574,iyakan kau
410,miss kita kuya
508,confirm wathdraw manny president antay kayo salute manny hari boxing
1226,suporters bbm tahimik
1564,argus
1038,anong koneksyon movie botante binoto bbm nanuod nanunuod sine kuntento
2096,wala bahid fenks
2651,crocs
1459,uung kakampink makabayan mhal mahihirap napakasama ugali
1200,andrew malakas
2353,pinklawan legacy puro kontra
2339,payaso bam
108,shawe nadali kakie
1314,aagahan gawin trip pagasa sunod election
1201,ready love reaction pls
772,met joma kid know joma gave fruit
1100,senador bambam
2978,pakitang tao malapit yubg election
1524,bwahahaha grabe labas litid bam aquino kasisigaw !!!!!!!!
2866,kya mahirap tlga magtiwala sknya dhil pakitang tao plagi galawang dilawan
566,happy
1630,paandar neto mama lenlen dyosko
961,present best christmas gift ever
2477,balik endoro
1561,bka prank
1046,dina lumipad nong araw sana meron video nauntog poster nahulog
993,saya sayasa jollibee magaalmusal mmya work
1778,yes count
11,dota days palang susupport esports pinas
1422,pass
1772,reaction blackpini ready love
875,idol mark musta naic cavite
383,nakakaalam baam aquino senador dati support esport community pinas
428,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
1629,youre right
2120,pakitang tao iboto
2713,hay naku photo purpose ....
1590,kilebama
1022,answer solid waste
1618,lol mahlg gala lalo maliliit
406,dota days noob kuku alam natin bam nasupporta esports bam
2616,sos
1764,mali magpasa
2001,naku wag namang sumanib lutang
2887,puro paganda dyansa nagsimula paghihirap nang pinas sinisisi bagong president nahirapan ibangon lugmok
238,tama pgsisisi
1017,asking binuto
122,alam kala paepal since dota days nagsusupport bam
1439,nman cgabby
1150,vegan gonegosyo aasenso
1854,kagaya million nanunuod sine
1464,hit point
1577,aminin plano tumakbo 2025 balik laylayan peg
1793,pension kukunin
2430,cory papatay ninoy mahalal pagiging presidente cory dimonyo
125,mabuhay bam !!!!
1530,kainuman joma osama bin laden
2243,ganyan cguro perspective kakampink bitter gobyerno tamah ..!
2860,pbida lgi leni paawa effect
498,salamat suporta esports bam start gamers
2107,daming pinagawa marcos pinagbebenta aquino kamag anak
655,hero john amores lampa cry babies benilde players
1874,pagpag
2711,nanay lenlen pla masisiraan ulo tuluyan hay kasunod issue lods
2163,tama ayaw umunlad pinas
2527,ayaw full disclosure bill mas maharlika fund confidential fund
1437,indorser
2612,magmukhng makamasa nilalaro nmn tau lenlen
2678,epokrita
2915,kakampekpek dyan wag kayo umasa manalo manok
2838,paawa nman lenlenwla kadala dala
678,bbm sarah solid
2013,halata nman pinklawan atat tahimik supporters pbbm
1135,tama kailan titigil
1219,ahahahahha triggered
1121,nong sinabi per kilo bigas naniwala lenlen bus ayaw maniwala
143,senador patuloy sana tulong supporta gaming
444,proud akong ipaglaban bbm nanalo
25,supporter thank supporting esports community
928,fyi tumulong tnc dota players kuku armel gabbi tims maka punta ti9
2807,answer plastic gadon
1307,hala itinatago leni
2181,pakitng tao plastic
2928,marcos magnanakaw
2895,house bill 6398 !!! even trust government run henchmen dishonest pricks
246,nasayang solid bbm
2212,puro plastic bbm
919,forever kakampink
2172,nagbabakasyon ibang bansa tapos bubus
363,morning mark merry christmas
314,hail yehe
686,enters kayamanan tatay madaling makuha madala dto bansa maitulong nasa mahihirap
1172,pinklawan atat atatsila
715,tamang
2398,kagagawan side cory yellow evil binabawian cla inuunti unti sunod nyan naniniwala yellow evil advance rip
1098,project ata
1733,hahahahahhahha shuta mhie
2959,kaloka
1824,kasing pinipilit kunwari maka masa ops wag kayong magalit hehe wala akong sinasabi
2015,kya mahirap tlga magtiwala sknya dhil pakitang tao plagi galawang dilawan
2289,tanga tanga
1761,1v1 boss
1510,auq grabe silaa
1713,dati nakakainis cla natatawa nlng
2703,kaputanginahan
2412,audacity
2583,publicity inuulit mamatay adawa yun balak tumakbo naka anib dilaw naku tama
2660,taga mars
521,amindao bambina maganda economy nuongbtume prrd bumaba pandemic .... salamat bam umamin maayos pamalakad prrd
2786,ganon papansin
719,bbm president
1548,nakakamis nanay pang memes
208,wala saysay maliwanag tunay bayani bayan marcos
1581,minions
1956,len len ksp
775,hindi kaylan tsaka matalino tao andali paalisin pwesto papalpak sure gugustuhin pbbm fail
974,mabuhay bam !!!!
1838,atty !!!!!
13,salamat napakagandang video
1203,mapagpaimbabaw
1836,maybe got lost translation
2437,magkikita kapatid hudas
606,strategy magaling
1050,nakuha muka
2115,hehehe tama hindi yata pilipino
1184,oky kaniila lods
2024,nilalaro taong bayan
2687,never rin
2418,slmat nwala sure purgatory
895,agree sayo
500,thanks aquino
714,yes ipagbunye
854,forever pink
575,thank supporting esports bam lodicakes sobrang kita support guro knowing malaki rin support esports
2702,pinktae
