,features_string_format
1155,commander chief alam
1174,kagabi nakitawalastik btw love hat
1508,hahahahahahahahahahhaahahahaahahaaha
1838,post pics face laugh dont right post pics video come
2044,congresswoman lagi bus search reason bus
1016,ahahahhahahahahhahahahhahahah ansakit chan hype !!!!
1291,omg embarassing shet
1442,argus
1053,siguro malakas mambwisit hindi uubra
1784,siguro malakas mambwisit hindi uubra
479,anong convicted
1606,tas nagpost bam aquino edited pic tas mukha bambam
259,cge royal ramble riders palang umatras kayo
2020,asa lugaw
2672,15k plus totoong tao 31k ghost magician
1664,fantastic fantastic fantastic fantastic elastic elastic elastic elastic ring ding dong ring ding dong
1575,bwahahahahaahahahahaha bambam aquino gaga
558,wala hulog sagot laging nililiko sagot tanong
1882,idol kaso ayaw nang lawyer pera pera
513,yehey
2621,one talking fault every presidents except marcos
1644,nagsama
63,magbabus papunta amerika mas mawa pambili mamahaling bag tapos
1599,new hair madam intro
125,years namuno dilawan nahubaran maskara d30 nagawa tulay ilog
239,nakawan usapan marcos pambansang magnanakaw pamilya boboem hwag ikahila kasaysayan pinas
736,madramahon manay
880,proudforever kakampink solid leni
1956,wag kang magalak pagka kaaway nabubuwal kasamaan nia dios nmn mananagot magagawa natin ipanalangin natin
909,bad sasabihin dasurv
938,pasko reunion
500,mapag usapan
1452,walastik
1820,maniwala kayo bbm maliwanag sikat araw kaso
697,tugtugin nayan lods sinabi mama lenie
776,nasayang solid bbm
2022,bbmsolid
273,nman lge tallano gold
2388,kagagawan niyan alam ninoy mamamatay
196,masyang masaya
1421,insert
253,magtrending ganyan cila ganyan boquet
2051,sleeper bus papuntang bicol
538,kayong bumangga pader sara du30
65,sakaling omobra ulit dating drama
1587,loko
2402,congresswoman lagi bus search reason bus
2358,lakas mgtali tali sinasabi opurtunista kpg noynoy didikit pbbm disikit kupo
1964,dumagdag diba
1803,become nagbubus province manila natigil
2366,masama batas militar baket nilagay parin 1987constitution
2091,blurred face dont right post photos zero rights natawa happy pang issue
1161,float
1605,reaction blackpini ready love
1588,boss tiga
249,tadtarin bala double dead
1061,still waiting ready love reaction
717,isip penklawan
1298,goodluck nalang
600,makinig kau mabuti lalo wala alam kuda kuda pwd libre search
487,puro paganda dyansa nagsimula paghihirap nang pinas sinisisi bagong president nahirapan ibangon lugmok
1826,sau kuya comment pinilit maniwala imposible sau bus orrd taxi naniniwla
1723,wala kabang reaction vid ready love
1578,hello
1114,dumami komedyante nong election
1275,hello
2315,bbmsolid
1086,haha
2005,sleeper bus papuntang bicol
1439,hahahahhahahaha
49,plastic nanay len2 hehehe
466,huwagsa movie pwede
1718,cno master mind dios alam
284,plastikan ....
661,design mamamink
2599,shes always
2541,npa pumqpatay dati
1221,niere look
941,haha
515,nman cgabby
896,sumakay tpos nakasunud sasakyan nkpg pic lipat sasakyan
2482,parepareho nmn dilawan
1806,loob eroplano binaril totoo mayroong naka tutok ninoy marcos bintangan god knows
2605,cory law 1987 constitution npa tegi martial law
1065,walastik troll moments hahahahahahaha
2118,saba manny department water bugo
1056,kuya rence wala reaction vid mood sampler girls generation
2572,katagal tagal paulit ulit balita wala talagang kasalanan marcos
2296,ayan nmn bka totoo sacrificial kamatayan nyapara simpatya ouch saklap
1641,round round
579,proof patay
1922,magpaalam kayo dilawan tapos
472,publicity alam lutang nayan naka tapos nagbus
1122,buti sana single captain
1995,hindi kakampink lods oppose
2578,meron naka encounter tyo lawyer lutang
341,31m nka taas kamay
628,pinklawan sigaw sigaw tallano gold kaming 31m supporter pbbm chilax
1704,hahahahahhahaha shuta
2129,sinabing 20kilo bigas sibuyas yun
1365,hayop
1060,sos
2102,sqbi and2 lupa wlang mapupintahan impyerno maghasik npa lumaban satanas
1514,potek walastik
990,madaling hulaan presidente binoto pramis hahahahahahahahahahaha kennat
1072,merry christmas mark keep safe always god bless family
426,mgpbuntis angel mgiging masaya buhay sarap pamilya hirap ginhawa buhay
1153,nakakatakot bam aquino fansign chariz
159,ambot nlng
27,beb wag silang idemand magresearch nagpaupo presidente nang naghihistorical fact check hahahahahahahahahahahahahahahahahahaha
782,subokan magkaalaman
2552,kayong mamatay lenlen siguro mind praise weak leader take note digong nagsabi nyan kuya
415,ewan dyn ndi nmn toni binoto 31m pbbm binoto nmin ndi toni
218,hheheheheheh daming pink meron car .... pahiramin ninyo
650,senator
217,anak wala puro tapos puro sisimula lagi tapos nanalo respeto
792,avoid depression
1923,hindi maka leni napapansin lahat2 iniipalan samantalang yong abusado batas dimo mabatikos takot cguro
613,joke napadaan cla jan tpos picture sbay post tpos alis agd kng bus dami picture kumakalat
1134,ahahahahagahahahahahahahahahahahahahahahahahaahahahahahahahahahahahahaha bambam aquino pota
305,bumoto rin marcos rin sangayon pakialaman pundo
416,agree sayo
2576,utot
1729,payr
424,kawawa .... maawa
1607,sos
2081,buti atty push
940,kol away kaaway buhay samantala kilala amores tao sinaktan
2598,namatay ninoy lumabas cory namatay jessie lobredo lumabas lenie
2290,dami
1212,ready love
639,hesus maria jose !!!
692,aware tayu guys meron uutos nan possible wala layunin leni kiko hnde pgkakaisa
501,thumbs
954,tama maharlika fund
1399,malakas nagkakasakit nang hihina bat malakas tandem
2292,nsa imburnal
2285,leni cge nlng presidente
598,anong gawin tatalunin maam sara lol
2344,ndi kalevel wag mong ipilit
712,letg
1428,wikipedia source
2087,alam binaboy batas katotohanan mayayaman batas
417,ipakita mukhang makamasa simple tao kuno
2594,fake mas alam pamilya tax issue
939,kagabi nakitawalastik btw love hat
1864,wala jomasison kapalit galamay
1773,still waiting ready love reaction
1913,nonsense aquino
1466,dol umaasa sayo charot
2539,nanlibre
1059,hahahahahahhahaha
2238,??? ehh pinayagan file candidacy tapos ngaun kayo magsasampa olet kaso hay nako axept2 oag time
2273,asawa nman ninoy nagpapatay
165,wala maisip
38,matoto pilipino karanasan politika
2347,keyword pampam
39,paktay tau jan
2385,ayaw tnggapin tlaga sobrang sama nman hnihntay loseper
2521,dilaws sinabi enrile pineke assasination maniwala dilaws sinungaling yang enrile
314,panay abroad tapus sariling sasakyan niluluko nitong leni trip
886,pinaka malaking nagastos eleksyon imposibleng wala xang natanggap sponsor npa
2251,tao puro reklamo puna pbbm
1576,tama tgnan mukha
197,wow mark sikat iingit keep safe always
17,poponda lenlen cute jan lenlen dala sako bag maniwala sayo
110,kasa video nagsasarili
2341,aquino sinungaling kinakarma
1278,sandali pagout magreact ready love
1179,bwahahahahaahahahahaha bambam aquino gaga
683,nagbus pra kunwari simple kono anak aral america patawa aling leni magaling drama
1976,become nagbubus province manila natigil
1895,fake news poisoned
1711,fantastic fantastic fantastic fantastic elastic elastic elastic elastic ring ding dong ring ding dong
2126,pao attorney iyan
64,tnt
1258,cno master mind dios alam
1915,congressional rep bubus jess robredo friday night bubus uwi naga maneho hrs
400,nabawasan tinik pinas kasamaan hangganan
2028,sus ngsyun sana bbm sara malakas
1765,walastik troll moments hahahahahahaha
2404,nagpapatay ninoy kadugo
2295,masama batas militar baket nilagay parin 1987constitution
1567,taga kabilang parlor
829,hahahahhaha nagpaparamdam nanay lenlen
1225,ibigsabihin hindi kilala oldies
177,sna sgautin mdmi ksi ngssbi nabudol sla msasbi lods
1825,lost soul
1747,sbi bah
1611,musta mark
264,tama !!!
356,parehas rin lutang
99,idol
724,sasakit kalooban pinklawan nyan lods
1423,argus
1497,shuta ahahahahahahahahahahaha
2024,ayan nmn bka totoo sacrificial kamatayan nyapara simpatya ouch saklap
2455,big
237,demonyo
2082,bbm resign
1034,hyttss
1730,kala mark tahimik
1132,hahahahahaha
1182,tama tgnan mukha
386,pbida lgi leni paawa effect
978,nagsama
1840,pahingi away showing staring lenlen
2519,kuya trip nia ndi gaya grabe luho bumeyahe
1539,ood umaga mark
2387,yong sundalo pupunta gyera bala
2156,ipinapakita safe magtravel pinas prrd pbbm
1441,float
1646,musta mark
747,patawa namantama pbbm vpsara parin
1353,madaling hulaan presidente binoto true
2240,kilala lutang mark
1496,hehehe
1103,waiting magpunta mark tuan mapagkamalan mark villar tahimik rin yun
1955,itanong cory kng papatay
2457,puro nlang kayo edit kawawa nlang kayo
1177,pang sstraw content
222,kasama lods
1879,dont justify unjustifiable confidential fund
2078,blurred face dont right post photos zero rights natawa happy pang issue
2510,papalit joma lutang
2526,nagpapatay ninoy kadugo
963,tas nagpost bam aquino edited pic tas mukha bambam
2029,post pics face laugh dont right post pics video come
611,back back negative gdp inflation tinaas dolyar peso inutang noong tinaas gumanda
1379,ruel silva ayusin wah
1326,nami miss boss humandabkau 2025 slots senatorial magwawaldas malaking kampanyahan dun winner
2088,puro nlang kayo edit kawawa nlang kayo
2302,prang normal life dati cpp npa dati government enemy nkasuhan sumikat
1538,golden era hahaha makabili basic needs mahal paranf goldnag bigas nbigyan knb tallano gold napala
2610,empyerno tatatnggapin buo rebelde ulit patalsikin taning
1336,madaling hulaan presidente binoto pramis hahahahahahahahahahaha kennat
192,lakas nang imagination hahhaha
2331,itigil dalawang aquino pangulo ayaw paimbestigahan pamilya aquino kamaganak nagpapatay
1804,itigil dalawang aquino pangulo ayaw paimbestigahan pamilya aquino kamaganak nagpapatay
950,nagsama
1867,ndi kalevel wag mong ipilit
53,100percent
1172,mima
602,yey !!!
848,pakitang tao malayo election
890,brain
2177,shes always
5,nataas qna aydul dun tatanggapin
2596,masama magbus sariling sasakyan
336,"magdiwang ,,,"
1535,want christmas
512,nyang bus yun
690,lol mahlg gala lalo maliliit
780,god good
1812,sobrang talino lodi lock utak
1304,hahuhu
2403,patay poba haka haka prob poba patay tlaga
463,sige matapos yang kakamping komonistang ccp npa ndf !!! mabuti tumahimit bansa !!!
1550,ready love
499,nagbabakasyon ibang bansa tapos bubus
1613,clean good
1722,boss tanong sayo proud kaba soj
2597,nku wag awayin dilawan pong dilawan close pbbm ngaun
2686,btw video ipinakita lucianda massacre
489,hinde tanggapin katotohanan talo cla
2650,kilala lutang mark
1213,matching
2354,fake mas alam pamilya tax issue
1240,aliw basa basa muna
922,nagtaka ganon comment walastik
1198,hahahahahahhahaha
866,pbbm solid
2441,matagal tagal nang wala trono taning ninoy corykong nakaupo dun
871,kinocondition years maxadong excited afford plane europe bus papuntang bicol
1270,siguro malakas mambwisit hindi uubra
2619,tas infra sasabihin
1779,auq grabe silaa
1123,nagmukha syang katawa tawa
1715,korek nakakatuwa nganlangbisipin anu ngat gan kuya noh wawawa
1785,hayop
2379,balak patayin hinawakan dawalang pulis kamay ninoy
675,pinklawan magnanakaw kamo
1033,walastik
337,mayat latta sure maatiw met latta
686,move kuya nagpapatawa compare kris youre dot
1338,indi hinatid
1058,boss tanong sayo proud kaba soj
839,mark keep safe always god bless
1469,revtax mayor palang pinarada bangkay kumander parago
258,bsa yang bus binili pasahero nagbike nlng sana eco friendly
2357,totoo patay sison
1473,hyttss
1313,senador bambam
763,kunyare yun
62,bus comp dun sumasakay
1173,kol away kaaway buhay samantala kilala amores tao sinaktan
1899,namatay ninoy lumabas cory namatay jessie lobredo lumabas lenie
723,busline
1584,senador bambam
1939,pao attorney iyan
382,bbm humahabol tawa kayo daming sinasabe etc etc anu nadarama
1887,tanong bat gigil gigil kyo knya magbus man habal habal pake
1827,hala delekado sumanim
1954,sisihin yun pangatlong pulis tinignan
1252,potek walastik
1796,boss tiga
2460,hehehe nireready 5yrs hintayin
74,magmukhang masa kunyari
859,demo nmn ulit jim pagdila
673,face reveal
2119,nku wag awayin dilawan pong dilawan close pbbm ngaun
793,bro tama funny baman tlga respect tama bag comment dto sna dmo pinakita muka ksi pinag
144,wala panis ganyang gimik
2054,kuya trip nia ndi gaya grabe luho bumeyahe
795,nanalo bbm kaloob diyos mabuti syang puso totoo hindi mapag imbabaw
1361,ood umaga mark
1377,kalabanin dilawan kim jong
1850,pagka sinungaling enrile binabaliktad kwento amang mijares media reporter
2493,ayaw tnggapin tlaga sobrang sama nman hnihntay loseper
2287,pnuorin intervieq nsa naga cla
368,shawe nadali kakie
1637,boss mark bbmsarah tshirt
855,sapul
1279,kabbm sara please follow mas pang videos uniteam
28,obvious pinkish
2167,itigil dalawang aquino pangulo ayaw paimbestigahan pamilya aquino kamaganak nagpapatay
2276,itanong cory kng papatay
2468,enough department water lose
1920,gumagala yun dami kasalanan
830,sanay mgbuss 12hr ngrereklamo sko pera plain nsko leny pskitang tao ysn
853,sunod nyan ligo kumain umalis umihi nman arkilado gawin video picture
48,clang pinklawan
1370,hyttss
219,ekis
2439,buhay nabigyan adrenaline
604,finally kaso gma remembered malungkot gma
2607,fake news taga libiral party nagpapatay ninoy
1462,hahahahahaha
347,malakas kris parang gulay nalanta yun
281,sakit tao pilitin patakbuhin political gain
1498,hahahahahhahha shuta mhie
2327,lost soul
261,sana buhay dating 2028
1702,ready love
716,nalinlang match
560,natin patawarin ibang lahi kababayan natin long live inday sara
132,maaga kinuha god abnoy bobo umupo gobyerno
2191,sumanib nlng mama lenlen
131,alcohol cologne thank much manifesting praying youre best goodluck godbless
228,basta bise presidente inday sara sakalam
986,cno secretary
2374,aquino president ayaw pabuksan kasinungalingan ipamalita danding nagpapatay ninoy
1245,reaction blackpini ready love
2084,patay poba haka haka prob poba patay tlaga
1888,sumanib nlng mama lenlen
18,buti mtatalino bumoto bbm inay patay tayong nkktakot cya msama plano
1732,senador bambam
1074,bayad buy ayy este banat bay
1489,insert
1685,ready love reaction pls
2212,sobrang talino lodi lock utak
933,hello mark
2,edi bus paibang bansa unlimited langoy
845,ngpapapansin akala cguro nla mkukuha nla mloloko nla tao sorry laos style basang basa kau
882,realtalk nanakawin yong corrupt dyan pulitiko hindi nakikinabang posesyon
128,banat bay knaiinisan
2080,alam marcos matay ninoy aquino
2534,pulls escort sasalakay babaril wala syang aksyon imbistigahan
493,wala kayang pwedeng ikaso ganyan
555,burn hell nagawa
169,nakuha muka
2194,wla mgbabago bbm tlga mgbabago
1296,wahahhahahah
148,yes yes yes yes
2550,wat ifs pinili prin nyang bumili ssakyan gsto nyang mamuhay payak buhay
1632,san reaction vid ready love
2125,wala bahid fenks
370,papasikat nagpapabango next election
1959,controlado media kalat nang kasinungalingan
73,maalala tao electionhang aga
278,kol dipo silq totol wrong timing magandang idea piro nakaupo nakaidip
2434,nakaasar media ngyari mendiola massacre pinapalabas ngyari
2016,buti atty push
1643,mabubuang jud pinas ganyan
1343,met joma kid know joma gave fruit
1822,actual video nng bnaril ninoy bat sbi libro sniper
2451,pulis reaction hinayaan barilin
1409,naku ???
920,ibigsabihin hindi kilala oldies
1764,word day walastik
1650,saang mall
15,heheheehe yayamanin yarn
440,camon shooting yun
1331,bambam aquino realquick
1748,kuya rence wala reaction vid mood sampler girls generation
269,aabot char
729,nandyan parin alipores wag muna kampante
434,yesd
1865,sniper yun pla tutukan kitang kita cno pumatay
462,babarilin kaluluwa nyang naglalagalag makabalik
662,youre right
2055,kagagawan side cory yellow evil binabawian cla inuunti unti sunod nyan naniniwala yellow evil advance rip
2342,buti atty push
185,hindi magtatagumpay
2632,alam marcos matay ninoy aquino
2217,masama magbus sariling sasakyan
1769,saang mall
1744,cno master mind dios alam
1340,hahahahahahaha
1028,madaling hulaan presidente binoto true
2463,inutakan ninoy fem tapos ninoy inutakan nmn kano devil tlga
1282,ibigsabihin hindi kilala oldies
2485,makapiling tatay masi kriminal naka kulong
1542,insert
2012,wag maniwala marcos naniwala
1455,wag boboto
1299,wah bad hacienda luisita massacre
1474,hahuhu
2659,napunta galman nakakulong mabuksan uli kaso nayan
2496,kilalaning pamilya yayaman
412,aabot paay sorry god
956,potek walastik
1008,hahahah
198,jusko pagpahingahin pinks mamahinga haha
277,meron man agenda whatever good bad respect natin trip
1493,hahahajahha
806,merry merry christmas
371,intindhin nlng natin cla ganyan nilalabas galit pagkadismaya pagkatalo lht nlng pinupulitika
1758,ser
1670,buhay ahm
2395,moreno escort ninoy bumaril nasa hagdanan plang binaril
271,best xmas gift ever
916,niere look
1665,hayop
634,alam kris pulitika kagawad brgy hindi alam
2010,mahalaga taumbayan nagawa adminastrasyong aquino puro paninira galit tinuturo taumbayan
1339,kuya rence wala reaction vid mood sampler girls generation
2438,inutakan ninoy fem tapos ninoy inutakan nmn kano devil tlga
1510,sos
105,sana sinali photo yong entourage lenlen
1562,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
2476,hanging ngaun wala clang napatunayan marcos pamilya pumatay ninoy
521,dilawan hindi rin maka move
1422,sbi bah
2528,ibang ganda jusko milya milya layo lalo asal cno maganda humble
8,tumama lodz
2575,todas master mind danding
310,hehe ganon lodz 14m nabola koki matsing aniduro bagsak pinklawan
91,paki sama tpos nahuli leader
2546,pnuorin intervieq nsa naga cla
907,remulla malakas
721,jusko lutang lutang
836,matagal napo bbus dati khit car napanood dati interviews
111,magic bang smart magic dilawan anim taon rising tiger asia panot pnoy
1079,ahahahahagahahahahahahahahahahahahahahahahahaahahahahahahahahahahahahaha bambam aquino pota
77,photo ops ferson
2336,mention kapa tanong dimo sinagot basic proud kaba soj hindi hirap sumagot
2561,btw video ipinakita lucianda massacre
2687,pangit nman pakinggan porket hnd kapareho paniniwala murahin parang kau nagpakain buhay wag ganoon
200,wala yata qualified
509,publicity kunwari maka masa taz election papakita nararamdaman nararamdaman nakakarami pinoy
1167,auq grabe silaa
571,nagkalat nanaman ganitong video malayo eleksyon
837,dollar earner panaginip
1135,siguro malakas mambwisit hindi uubra
429,tama pgsisisi
787,pakitang gilas 2023 goes lugaw
1532,hahahajahha
2279,dalawang aquino pres binuksan kaso tpos puro sisi marcos kapal mukha aquino
2248,vote manny dept water spokesperson
2120,tanong bat gigil gigil kyo knya magbus man habal habal pake
1269,wikipedia source
1385,unahin emosyon reading comprehension bow
1699,still waiting ready love reaction
1032,nagtweet former senator bam aquino issue
532,pupunta bicol almost hours paghinto sto tomas baba sakay pang content subukan sumakay pnr
1724,hahahahahaha kaluka
2436,sayang tlaga nabudol
1815,bangkay wala noynoy wala ding bangkay
1280,korek nakakatuwa nganlangbisipin anu ngat gan kuya noh wawawa
1781,inang lenlen masaya kayo
2180,controlado media kalat nang kasinungalingan
870,parang naag iisip rin magnanakaw marcos inisip thanks god pbbm pres
1522,pati jesus galit soc villegas
2454,nku wag awayin dilawan pong dilawan close pbbm ngaun
771,iyakan kau
1958,ganda lalaki
1012,san reaction vid ready love
1983,aquino president ayaw pabuksan kasinungalingan ipamalita danding nagpapatay ninoy
1751,????
296,middle finger sakin well deserved
2615,sisihin yun pangatlong pulis tinignan
651,makuha simpatiya tao sabihing maka mahirap maka tao
685,real talk
1746,hoy bat hinde quiboloy usapan pqg usapan wanted hinahanap fbi
2640,pulls escort sasalakay babaril wala syang aksyon imbistigahan
1345,blackpink ready love reaction mhie
2406,god bless maam leni family
603,isip
2563,matagal tagal nang wala trono taning ninoy corykong nakaupo dun
1131,hahuhu
2128,buhay nabigyan adrenaline
1985,create jobs
936,tas nagpost bam aquino edited pic tas mukha bambam
1176,nakakatakot bam aquino fansign chariz
1504,mark merry christmas namamasko
1682,hahahahaha badtrip
892,idol boxing
1793,tas sama andrea
738,taga camsur dai kayan nauto
352,rest hell fucking joma sison rot hell
280,pinklawans tunay tallano gold
2486,nlng lods nagbus noong cya alam meron tlgang prob pagsakay bus
56,magkikita kapatid hudas
1130,grabe nanay nindo garo man ini ono
1950,namn ulit sinulatan sarah kinukunsibti wag malugmok yjng tao yun wag depres
1143,kaluluwa marcos senior hindi rin matagpuan
1096,argus
1078,pasko reunion
2243,fake news poisoned
897,pogi mark
96,pinahatid kiko
1435,pogi bambam kagabi ugh
1987,planado cia yellowevil
1241,bambam baembaem
1451,hay naku
2312,edsa revolution hell revolution
2469,ndi basta basta pagplano takes much time kawawa marcoses
236,boss idol pakisabi nman nanay traysikel magpapic parang tunay nasa laylayan
1772,pogi bambam kagabi ugh
758,nakakabili branded bags nakakapunta ibang bansa sariling sasakyan
2479,inutakan ninoy fem tapos ninoy inutakan nmn kano devil tlga
803,tigil politics tapos election tumulong pababain inflation action puro daldal
1548,taga kabilang parlor
257,ordinaryong tao private car patawa manang len len
1568,nagsama
1598,kwento
2464,please really pbbm right question whats happening real issue leni government system kabaklaan nalang
2038,edsa revolution hell revolution
1963,lakas loob noutal utal
414,sana kakayahang bumili sasakyan
1175,ser
1346,new hair madam intro
2157,litter janitor ura !!!
1218,golden era hahaha makabili basic needs mahal paranf goldnag bigas nbigyan knb tallano gold napala
541,tnt kayo dyan matulog tulay
30,bus netizen post kasma bus parang wla post
1688,ood umaga mark
1129,grabe nanay nindo garo man ini ono
1544,senador bambam
1695,pansin buraha
883,something fishy
1236,indorser
2509,ganyan cguro perspective kakampink bitter gobyerno tamah ..!
1180,tanong mahal bilihan ngayo inport ibang bansa sibuyas kinawawa magsasaka pls pakisagot
694,bitter yarn
947,nami miss boss humandabkau 2025 slots senatorial magwawaldas malaking kampanyahan dun winner
1914,cguro kayang drive wala syang driver magandat maayos daa manila northern region manila bicol
678,utot mama lenlen
2308,mas naniniwala kame dating enrille kesa pinklawan
1148,batas
1344,sos
1214,mendiola video
2311,leni cge nlng presidente
2188,content boss
1457,asan shirt
207,taas pati paa hahaya
2127,patunay nnanatiling tapat robredo cya wlang ibinulsa
2072,atty mang
1642,batas
1486,kol away kaaway buhay samantala kilala amores tao sinaktan
485,tikman mantika
1942,dont worry lods abo noynoy hasik lagim
2218,balak patayin hinawakan dawalang pulis kamay ninoy
1477,hoy bat hinde quiboloy usapan pqg usapan wanted hinahanap fbi
1843,tanong bat gigil gigil kyo knya magbus man habal habal pake
2688,sniper yun pla tutukan kitang kita cno pumatay
387,wag kmi simply buhay bike
1802,content boss
176,relate sara bush suntok sherif
477,halata nman pinklawan atat tahimik supporters pbbm
1877,yng turo schoo gamit sniper gamit
666,sincerity nang defender haggard
465,malkas manumbat
746,korek idol
539,correct !!!
2456,batas natorture diba binago constitution diba kayo nakaupo palasyo hay nako
2353,scrificial lamb ninoy taning buhay pra mtupad plano oligarchs
2284,patay pla
135,naku hirap maipagmalaki idol binabantayan
1071,goodluck nalang
804,akala joke totoo tlga
2316,solid bbm sarah gawa larong pang brainwash filipino ibentang marcos matagal laro
807,susunod papatayuan rebulto joma tapos magdeclare holiday calender
241,binoto namen buong family bbm kxo dhl kmi nsa abroad ofw kng parents nmn matanda pamangkin nmn mhlig muvi panu
843,patay
1511,senador bambam
2143,nonsense aquino
995,ahahahahagahahahahahahahahahahahahahahahahahaahahahahahahahahahahahahaha bambam aquino pota
2532,hanging ngaun wala clang napatunayan marcos pamilya pumatay ninoy
630,tamaan kaluluwa lods
1862,buhay nabigyan adrenaline
1742,ahahahhahahahahhahahahhahahah ansakit chan hype !!!!
1411,met joma kid know joma gave fruit
4,totoo sana
2614,sobrang talino lodi lock utak
122,true effect lodi haha tuwang tuwa pink army
1916,wag kna umattend idul mane less talk less mistake
1623,hahahahahahahaha
1171,bambam walastik aquino
1736,grabe nanay nindo garo man ini ono
84,alcohol cologne
1733,pamasko
1349,hyttss
505,pinklawan atat atat 20kilo bigas mas patay gutom yata compare
2047,yes bbm sarah solid
19,npa parinno permanent address
256,bayad importante ....
1288,hello
1869,tee
2566,kritiko yang atorfee tagal
25,mute academic kaso nkatakbo ibinoto million kna umasa atty taeh balik law school majority
1696,hahahahahhahaha shuta
2367,fyi mayor plang asawa kpg lumuluwas cla bus tlga hnpin old interview asawa mayor plang jessie robredo
355,hindi bilib
293,alam nmn lenlen artista
1317,hayop
2025,sumakay wala bang nagpicture masa loob bus yun nakavideo nasa loob bus
2258,tka mura tangkay maliit
1039,atty gadon makapagsasa nyan sayang nanalo honvirus
255,susunnod kris pamilya bise pres
2660,bata minulat samin teacher nmin elementary marcos nagpapatay aquino hnd
840,juice coh
1328,ganda kanta bagay bagay
966,ibigsabihin hindi kilala oldies
797,liwanag dilim
2272,hinanapan justice cory ninoy means tlga sacrificial lamb tlga like jessie robredo
1630,mark merry christmas namamasko
263,martian soj ninong mark
710,big yes idol
923,walastik
2635,god bless maam leni family
316,mam alcohol cologne
2192,madaming nakinabang pera kya pinag kaisahan marcos kht abugado media bayad gnya kadumi batas pinas kasabwat kano dyan
867,pinklawan kayo napapagod
1885,wla mgbabago bbm tlga mgbabago
1159,hahahahahha yowo
1528,hahahahhahhahaha
119,omg umayos kao pinklawa
1355,love song much !!!!! kinda song start yourr day beautiful
346,hindi binoto leni robredo ganitong istilo peace
2108,hay nku money gold bbm adjust sayo
688,ipokrita idol dati mukhang masa
2391,utos
2065,dumagdag diba
270,sagutin abangan winners !!!
106,haisst iyan
948,tawang tawa comment kilala binoto based comment bawal shushungashunga
2655,fake news taga libiral party nagpapatay ninoy
6,dala kampanya nyan luma len len
1416,word day walastik
353,fake
2249,lutang ??? yong tumakbo president hindi alam isla phil leni .???
810,pinklawan panay inom cool aid
737,alam dis
338,kinuha alahas imelda ....
1828,utot
2269,naku sana pauwiin pinas bangkay ilibing dun libingan bayani
1507,pang sstraw content
379,lenlen strategy nanalo pakitang tao anak nyan doktora harvard
1169,dumami komedyante nong election
2602,keyword pampam
2421,bata minulat samin teacher nmin elementary marcos nagpapatay aquino hnd
1667,bad sasabihin dasurv
1229,kala mark tahimik
2130,wala jomasison kapalit galamay
1255,ocfemianapansin naghanap movie toni puro nasa directors club almst tiket pano makakapanood masa
2378,mixing half truths paid liesm ganyang gaya fox news
1025,kuya reaction video ready love
359,papansin mama lenlen nla
620,cla makamove
652,lagi pagod mark lutang
1005,hello
435,letter hoping mapili
1531,ruel silva ayusin wah
2259,atty easy
248,300 mahigit 300 bags napaintan pam
2429,nakaasar media ngyari mendiola massacre pinapalabas ngyari
98,madaming ganyan
3,kuya naka bus cya kasama
2320,pamilya aquino pumtay
1647,indorser
1792,bambam shot puno
1677,taga kabilang parlor
1844,choice wala kau paki heheheheh
757,nyan higante higante drama drama harap media
491,paandar neto mama lenlen dyosko
478,kinikilabutan nakakatulog mahimbing
2134,content boss
2677,sisihin yun pangatlong pulis tinignan
2592,balak patayin hinawakan dawalang pulis kamay ninoy
942,shuta ahahahahahahahahahahaha
311,lenlen presidente
1095,nagsama
1940,totoo sobrang mahal sibuyas umabot 700 kilo yong simpleng taong soj dimo nasagot proud
1332,bert tawa marcelo
861,bumalik nanaman pagkabobo lenlen history repeats
2079,sniper yun pla tutukan kitang kita cno pumatay
2394,big
531,bka nbibigla puede kpa umatras isip
2247,god bless maam leni family
1834,hala nasa moon
2554,joke
700,best christmas gift ever
82,lods aasahan pink sempre lods pinagmanahan ina nika
680,buti maniwala inyo dnila nkita ugali
943,bambam aquino realquick
480,pic tpos post
2186,content boss
1011,noto dilawan
1020,wala nay magpailad rong panahona
1335,boss mark bbmsarah tshirt
2154,nagtago
1437,madaling hulaan presidente binoto pramis hahahahahahahahahahaha kennat
1030,wag boboto
2083,simpleng buhay gsto nla cla maluhong pamilya kht nging dilg sec asawa commute prin cla anak
1892,batas natorture diba binago constitution diba kayo nakaupo palasyo hay nako
1119,kaluluwa marcos senior hindi rin matagpuan
374,mapagkunwari tawag dunsabi saatin hiningi pamasahe
1050,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
55,mabilog ulo nasa laylayan loka len len dami hanash masabi sumasabay mahihirap nalang pinagloloko
1041,hahahahaha badtrip
914,indi hinatid
1971,wlang masamang magbus bto alm ganu magmaneho oras car motor masgusto magbus
498,hope get
2196,ata something kinikilos nakakatawa jan
783,batang isip guanzon ganyan asal abogado
1566,bambam walastik aquino
1837,kagagawan niyan alam ninoy mamamatay
1166,ruel silva ayusin wah
1126,wawa
2419,lutang ??? yong tumakbo president hindi alam isla phil leni .???
2495,pahingi away showing staring lenlen
2187,pinkie pops yellowdds
2545,nagcelebrate araw martial law nagamit paninira marcos mapwesto
1256,niere look
