,features_string_format
614,maka man hanga tlaga support niyo esports bam
2412,papalit joma lutang
733,len len ewan
2216,try angkas lenlen 1day ride wahahhah
1107,great president philippines
599,meme paawa effect hay naku naka kulay pink dyan
37,true
2469,konek netong aquino esports
279,pakitang tao ....
362,ask page tiktok uniteam bataan offered job different countries andun pic press bbm legit
2534,kailan ordinaryong mangagawa dating senador mayamang negosyante
2001,masisispag
806,pogi mark
190,tama padir
1192,whats soj
2400,cartoons
674,bruhc vegan
1582,whats soj
375,buti mtatalino bumoto bbm inay patay tayong nkktakot cya msama plano
405,ipakita mukhang makamasa simple tao kuno
1856,pagnanalo yarn upo tas pasaraps buhay think twice sayang effort du30 administration
1377,fitflop
1875,kanta muna guys tanim bro pukpok nakayuko magpintura makatayo maghalo nalang hapon
2304,nagpaka aron ingnun
2543,alam boong pilipinas kalidad money wag
214,katandem pelikula ata
2640,wag kalat nnman
1946,"piro matuturin amoris ,,, dpat boy rin"
1290,pati jesus galit soc villegas
2348,corruption pakitang tao dilawan
2223,hunyang9
1061,pansin buraha
373,additional info senator bam pinakadahilan wala tayong binabayaran tuition college sana maka nood mpl live huhu
300,magandan xmas gift
1991,never charot
356,hangat yellowpink hindi mawawala magnanakaw
459,486 273b 120 inflation rate teka error calculator
1168,krazy angkas
493,binabalak gawin duterte administration
1017,maui rec create
2577,natawa 400k
2414,answer bbm2022
35,boss npa permanent address
1743,hello idol
271,jan napa follow
1823,dami pera bambino
2695,meron jan kumain baso uminom plato
2387,san kukunin fund aquino gsis etc sana masagaot
523,bam esports !!!!!!
897,iiyak tlaga guanzong
254,31m fund tutal unity
262,sumakay tpos nakasunud sasakyan nkpg pic lipat sasakyan
625,tour sabay bus uwi
763,pinklawan magnanakaw kamo
881,pra kaawaan ulit
563,forda drama
2453,sobrang talino lodi lock utak
1104,bombelya
2380,sumanib atom rissa coco atb
42,trying hard pdin till
2425,events occured martial bad human rights abuses corruption killings
2645,congresswoman lagi bus search reason bus
1129,good morning friend
713,salamat suporta esports bam start gamers
432,wala cla maisip pede cla tandem iraq
2072,cosplayer sarii nyang uncle saeiing katao
686,yng tumututol ayw yumaman pilipinas
2593,toxic
1156,cno secretary
743,magtrending ganyan cila ganyan boquet
2449,sumakay wala bang nagpicture masa loob bus yun nakavideo nasa loob bus
503,boss idol pakisabi nman nanay traysikel magpapic parang tunay nasa laylayan
227,inaway mark
1870,one talking fault every presidents except marcos
720,hintayin sgutin atty gadon
2519,need action education background state man kuno
290,fucking joma sison spent fucking life ruining lives youth spread violence country
1247,float
1988,answer pakitang tao
319,bus netizen post kasma bus parang wla post
1956,tgal pwesto wla mnlang ngawa
651,hinahon casters host viewers andon kayo
1011,asan 10k
1786,nagtweet former senator bam aquino issue
837,tahimik ngalang nabuking mupa
1929,laborer
161,paawa effect
180,mayaman investor san miguel meralco mahirap papansin
1323,kol away kaaway buhay samantala kilala amores tao sinaktan
927,tahimik ganyan lagi
2404,asus ngsalita
1452,10k nnmn
1872,disparate
393,hindi magtatagumpay
1798,want christmas
1425,beb beyonce fan renaissance !!!
1267,speech
1456,saang mall
2600,salamat tapos mundo
4,natawa dun reason kayo natalo realtalk binoto
1083,kuya rence wala reaction vid mood sampler girls generation
1861,mapanalo
533,pacute
406,rip
1232,boss tanong sayo proud kaba soj
2559,gawain taong mapagpanggap
565,piklawan
1878,pretentious leader ....
2522,dilawan parin
750,hipokrita pakitang tao earth maghintay bus hindi sakayan
1930,anuano pinapalabas wala magagawa hindi mapapabagsak pamilyang marcos
2434,palastic
1738,hello mark
1001,bambam natagpuang nanilbihan gobyerno
1983,misfire nangyari ninoy madiin macoy tao pumutok kamali iming
1194,atty gadon pasok
1649,mabubuang jud pinas ganyan
871,dina lumipad nong araw sana meron video nauntog poster nahulog
1911,choice wala kau paki heheheheh
1512,salceda rep gsis twg
2579,enexplain mas nia bus nakakatulog wala personal driver naga nagdadrive kotse
2443,naiintindihan dds trolls
2269,joke
794,enrolment hirap dati magtapos kolehiyo daming babayaran maswerte kabataan libre kolehiyo
1150,new hair madam intro
2118,wag kna umattend idul mane less talk less mistake
2478,magandang sakyan tong issue nato popogi nxt election
2233,bbm sarah solid
391,paawa sus wala kotse imposible nman wala
1049,round round
33,manood man hindi movie toni pbmm rin president
2031,kano bayad sayo ???
2232,laws npa orligarch
2093,namang magtatanim palay naka pants tapos mahpipintura talawang kamay tapos lalay nanga hallow blocks naka gloves
2258,rastaman
2466,best actor
252,ayaw malubak sasakyan grabe kalsada bicol lalalim lubak
999,pati jesus galit soc villegas
1358,pasok
1234,duterte nakaupo lalabas anak bonjing
2243,lights camera action
1257,tawagin carpio
980,fitflop
605,alcohol cologne thank much manifesting praying youre best goodluck godbless
2054,maganda nang marcos hintay umpisa palang mas lalo kang maingit tapos hintay wag magmadali
1755,hahahahahahahhahahahahahahahahahahahahahhahahahahahahahahaha
1500,taga kabilang parlor
1565,maui rec create
2322,yellow hypocritesdi maintindihan naniniwala kanilaay pink
1507,beb beyonce fan renaissance !!!
1147,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
1785,padding
1519,atty gadon pasok
2468,"piro matuturin amoris ,,, dpat boy rin"
624,totoo lids namatay cya
875,hypocrisy finest putcha
178,lutang idol
2236,basura
13,sanay sanay
1220,gagawing talk show game show pinas
2257,god bless maam leni family
1598,san reaction vid ready love
1397,2016 yun effect fpgma
1812,scrificial lamb ninoy taning buhay pra mtupad plano oligarchs
2692,malapit election hahaha
1369,kabbm sara please follow mas pang videos uniteam
732,letg
426,mahigpit yakap forever kakampink
468,best tlga bam naka supportive esports team player lalo international game
369,lakas mang trip lenlen
2166,quadruplets
2369,ewan inyo
2161,laws npa orligarch
2126,leko
729,kala seryoso matagpuan
1545,noto dilawan
805,gun salute binibigay head state
1687,good morning friend
2237,traydor
639,tunay nanakaw
365,bida lenlen
296,answer pesos
1461,nanay cristy
872,sure
276,iiyak pinklawan nyan lods real talk
412,lenlen lutang forever
1243,pdaf legal
92,tama boss
2045,natawa 400k
2595,bam matinding halimbawa tunay dimonyo
2630,15k plus totoong tao 31k ghost magician
1933,pagnanalo yarn upo tas pasaraps buhay think twice sayang effort du30 administration
898,hinanap barko san dadaan bus
2066,nahihiya niyo jusko
32,nabudol hindi nman binoto
2575,tunay bayani bumaril hindi ninoy
2629,dyan silya elektrika shotgun sana ginamit sabog ulo
146,tas inday sara kalaban
1531,pamasko
1493,alam mass offering churches ..... yun alam nameng assembly
519,pesos
2474,masisispag
2458,tama tama aquino pabag sak pinas maganda mawala abg dilawan pati pinklawan malad pinas
2124,kuya trip nia ndi gaya grabe luho bumeyahe
994,bambam baembaem
1896,masama bill rather timing people behind
2270,mam imelda said divine justice waited patiently god made possible marcos back years sttonger ever
1673,ood umaga mark
2578,house bill 6398 !!! even trust government run henchmen dishonest pricks
1180,bayad buy ayy este banat bay
64,2nd
2350,election
436,bbm malakas
2192,sure aalma hinayupak pulangaw buti sana pulangaw retirees makukuhanan pera maharlika fund
610,welcome impierno hehehe
1731,mendiola video
2659,alam binaboy batas katotohanan mayayaman batas
1908,wla nang delawan maka balik
454,pinklawan panay inom cool aid
20,delikado taning bka mapalitan puesto
1393,love mritess
127,afford trip stay weeks referring personal trips huh
619,thank bam !!!!
1834,mapag pangap key
361,dina jaja
2175,alam binaboy batas katotohanan mayayaman batas
2610,pamilya aquino pumtay
307,sagota pesos
2624,answer corrupt cap
2197,natawa
2159,pagawa bahay nanay leni
1553,want christmas
984,shet
1719,unahin emosyon reading comprehension bow
1103,blackpink ready love reaction mhie
400,kasama lods
983,kala butters
1125,pension kukunin
2195,solid bbm sarah gawa larong pang brainwash filipino ibentang marcos matagal laro
423,alcohol cologne panalo negosyo
1114,mima
342,tama effect
884,call
598,former bam aquino naghehelp man esport players natin makasecure visa compete internationally
1488,musta mark
1829,ayoko dilawan ....
687,idol
1775,wala nay magpailad rong panahona
2013,kakampekpek dyan wag kayo umasa manalo manok
1819,ngaun wala paren kaung kadala dala
2193,fake letters
1000,hindi sandro nagpanuakala 1st lady lisa araneta marcos
421,pwede caster
333,mental gymnastics
157,sinubukan !!!
1072,wikipedia source
2520,answer election
539,pinaka malaking nagastos eleksyon imposibleng wala xang natanggap sponsor npa
2533,nagpaka aron ingnun
836,salamat senator bam aquino
465,aga nman nangampanya lenlen
1601,kmusta mark
152,malapit election kagawad manalo lenlen
474,pasikat kamo
311,kol dipo silq totol wrong timing magandang idea piro nakaupo nakaidip
1617,hindi sandro nagpanuakala 1st lady lisa araneta marcos
113,pogi bam aquino
1909,pacute leni
507,namn maturuan nang lection
2150,hay another story thesame story ?... booring
438,grabe maka move
2402,natatawa traffic enforshit roxas nalala
1847,mapag pangap
789,galawang dilawan mar uminum tubig plato
1999,mas makakapahinga bus masmalaki matitipid bus pauwi bicol
1686,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
2070,binigyan nang chance hndi nagbago
499,bka nbibigla puede kpa umatras isip
1059,boss mark bbmsarah tshirt
615,praning
2421,pacute leni
2271,panu ipapasa kaalyado dati kasama pansinin kaalyado gagawa nang batas hirap mapasa
75,tama jan kau
635,trabaho .... bbm
172,parang circus
2492,sumanib atom rissa coco atb
1190,natatanga sakanila totoo
590,aku big yes
804,agnas
2391,pano magkaka surplus national debt natin 511 trillion noong pinoy san kukuha surplus fund
870,nabubuhay kampon marcos fake news kasinungalingan
415,sakit kris jusko
2602,flush inedoro
2464,naku sana syang sumanib lutang
2388,election haha
906,dumami komedyante nong election
858,congrats bam good job
2585,election
1266,tres flower
2671,meron naka encounter tyo lawyer lutang
116,wag natin patulan bagkus hikayatin natin manahimik makipagtulungan susunod mamumuno
2328,naku kaduda duda magpaplano nyan
749,hayaan bsta tau proud loyalist
2403,nmn gawa mana tyuhin
1157,ocfemianapansin naghanap movie toni puro nasa directors club almst tiket pano makakapanood masa
125,inarty pro sanay nman dti
397,got7 senator bambam aquino
1831,olats
1923,mention kapa tanong dimo sinagot basic proud kaba soj hindi hirap sumagot
2089,aquino
1459,kala mark tahimik
1761,kabbm sara please follow mas pang videos uniteam
1541,round round
1263,ready love
303,hay nku bias nnmn
2505,plastic sagot
1185,pogi bambam kagabi ugh
67,haisst iyan
2538,nakapag aral libre duterte
2034,exciting part
97,sakit tiyan tawa caption bagay bagay matsing
1989,answer election
330,penge pang skin aquino
367,huh anong reasoning kapanipaniwala namang nagbubus pang naga jusq koya
1772,love mritess
866,kaylan oknapaka bitter iyak nlang matagal2 mka pasok
1555,hahahahahaha
1413,akala aquino bambam1a
1809,non sense content
1010,hahahah
1615,pasko reunion
2112,bogok
1188,asan 10k
508,wala bang car dba galing vacation abroad tapos bus
1773,apaka
1111,ood umaga mark
813,never happy
1963,admin pabor dilawan nsa coment section puro bbm suporters outch
2484,flush uli inidoro
1254,yes ibang .... bodol
1751,patay nba updated mark kilala sure lutang mong kilala
137,yong ibang vlogger confirmed pension post agad kya natural react kaming pensioner
78,bombilyang dilaw gamit led mas maliwanag samin
1324,pamilya cuangqo
501,brad photo
487,pansin nanay lenlen paawa 3pek
357,normal leni
2525,mediola massacre didma
1483,met joma kid know joma gave fruit
1736,hahahahaha badtrip
1510,new hair madam intro
1527,hahahahhahahaha
622,pinsan kris bam
2358,lugaw
1713,ibigsabihin hindi kilala oldies
1777,krazy angkas
601,atty case
187,nasa rainbow joma slide2x
41,patay tiyuhin ipagdasal kaluluwa idinikit pulitika
2420,natatawa traffic enforshit roxas nalala
1795,nagtaka ganon comment walastik
378,mahal sibuyas noh yayamanin yarn nkakagoodvibes
1098,hahahahahahaha
1419,sbi bah
537,way another aquino
587,hope get
1971,ordinaryong mang gagawa seriously
1442,aga
1521,hahahah
1941,trabahu bwuan dilaw construction ongas panday leni great painter nman magsasaka bwuan
1031,sandali pagout magreact ready love
880,end guanzon ngingiwi
515,uumpisa nman madumb
448,"magdiwang ,,,"
1182,waiting magpunta mark tuan mapagkamalan mark villar tahimik rin yun
151,dun tau mapag mahal bayanbest president philippines cory nonoy aquino
2268,answer artista
1208,pang sstraw content
1272,inang lenlen masaya kayo
2039,sobrang talino lodi lock utak
570,wala kase kayo suporte kosa unity kau bagay yun yun
1221,omg embarassing shet
1699,sorry
1710,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
1106,ocfemianapansin naghanap movie toni puro nasa directors club almst tiket pano makakapanood masa
2401,reflect tuloy boto magic hahhaa hangin
1866,hindi pinklawan nakaupo pwesto wrong timing
2134,nasapawan bam aquino
2435,lalaking lumapit bumaril ninoy
458,alam dis
1932,big
120,answer pesos negosyo
2643,ingnablang many tnaulaw tubag foren policy
2165,nabubulok
208,tama lods tao nagkakamali hindi perpektong tao
768,pinklawan sigaw sigaw tallano gold kaming 31m supporter pbbm chilax
2290,obob know
820,banat buy .....
2660,aahh alam kuna sagot iyak
1018,"shock mark ,,,"
853,realtalk nanakawin yong corrupt dyan pulitiko hindi nakikinabang posesyon
528,years namuno dilawan nahubaran maskara d30 nagawa tulay ilog
398,tam jan lods
2088,reunion party kse cla
446,bbm sara win
606,pang new york
701,prouder coz !!!!!
1657,loko
2569,mapagoanggap
443,sna sgautin mdmi ksi ngssbi nabudol sla msasbi lods
2654,parang bote nang softdrinks mas mahal plastic
959,hahahahahahaha
24,tama !!!
1803,sniper
973,wow nka wheel chair ngaun
1573,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
1715,anu bam asporing president aquino clan
2087,mixing half truths paid liesm ganyang gaya fox news
741,mabuhay pilipinas god bless philippines marcos
1708,pamasko
1095,round round
1463,negosyante aasenso subukan magnegosyo
1554,duterte nakaupo lalabas anak bonjing
2132,artist election
210,particular team kayong sinusuportahan
1309,madaling hulaan presidente binoto true
1692,good gabi buds
475,anjan nanaman idol
761,yes people est infra thru jobs gain income family
2279,usual dilawan pinklawqn madre pari hayss
1144,tama tgnan mukha
1395,word day walastik
1206,asan 10k
1211,bayad buy ayy este banat bay
196,sige matapos yang kakamping komonistang ccp npa ndf !!! mabuti tumahimit bansa !!!
1970,sablay balita
1081,nakakatakot bam aquino fansign chariz
1336,kuya rence wala reaction vid mood sampler girls generation
2685,palastic
1581,golden era hahaha makabili basic needs mahal paranf goldnag bigas nbigyan knb tallano gold napala
105,nasa purgatoryo ata
471,kitam
575,saya saya
911,150
2582,bobo bbm president
1557,nanay cristy
1224,korek nakakatuwa nganlangbisipin anu ngat gan kuya noh wawawa
2667,malapit election hahaha
1162,pasko reunion
234,umaasa hndi maharap magtrabho makahanp gold
1996,man kayo bamaquino
1790,nami miss boss humandabkau 2025 slots senatorial magwawaldas malaking kampanyahan dun winner
1310,negosyante aasenso subukan magnegosyo
1524,lol adik
869,suporters bbm tahimik
1559,hahahahahhahaha shuta
654,build build build
453,maagang pamasko congress pabor mif tik 2million bbm
764,gagawing bodyguard inday sara
543,paawa effects
1138,natatawa tatlong wala bang
1769,wala
2374,election haha
2234,obob know
988,new hair madam intro
2594,mission imposible
548,dpat dina paliwanagan yang lodz
1520,nagtweet former senator bam aquino issue
1372,nagtweet former senator bam aquino issue
1904,tas infra sasabihin
1288,leo martinez aka robert bumaril
1528,hahahahahhahaha shuta
985,uwi kau miss kau rowena guanzon
130,balik gawi nanay omepik style pra mka relate charroot nanay
95,canned goods maraming salamat negosyo event naway mapili nang maipandagdag maliit tindahan
417,beb wag silang idemand magresearch nagpaupo presidente nang naghihistorical fact check hahahahahahahahahahahahahahahahahahaha
2201,congressional rep bubus jess robredo friday night bubus uwi naga maneho hrs
934,pdaf legal
2283,totoo idol patay traidor pinas
2521,audacity
274,bam thanks support hindi community pti esports general sayang hindi kita rev major 2022
2623,tka mura tangkay maliit
594,nagbabakasyon ibang bansa tapos bubus
1006,baby fuentes bambu oil
1805,adik
991,indorser
1024,mima
2115,posonegro dretso nyan
2297,boss mali iniisip pihado joma kasama ninoy cory noynoy sin ramos iginala muna joma kapaligiran porkgatoryo
951,guapo
332,ayaw paka totoo nalang jusme maari buss sosolo commute yang
2026,ngaun wala paren kaung kadala dala
2320,magandang sakyan tong issue nato popogi nxt election
1641,new hair madam intro
1951,bbmsarah2022
2191,masama batas militar baket nilagay parin 1987constitution
1544,whats soj
2472,hay nku money gold bbm adjust sayo
798,nalang sinisi pangulo hay nako
2148,atty gadon knows answer
1771,baby fuentes bambu oil
710,totoo kya false news
1093,met joma kid know joma gave fruit
1674,apolo10
1900,papakitang tao election umay
1994,wala saysay maliwanag tunay bayani bayan marcos
147,true papampam len len
2225,ans bobo
920,twin brother aquino
1318,tawang tawa comment kilala binoto based comment bawal shushungashunga
2314,nagkatotoo ?????
914,hahahahahha yowo
1332,natatanga sakanila totoo
728,lakas nang imagination hahhaha
150,hipokrito lenlen
1237,ruel silva ayusin wah
556,malaman pano magpapapansin lenlen
179,proud proud anak
2672,ewan inyo
63,sasakyan yata naka sunod
2103,meron tlaga negatron
1439,hahahajahha
1910,31m silent smile trust bbm maharlika
2653,scam
291,man dilawan appreciate apperance like suportado esport specially
2493,hay another story thesame story ?... booring
1261,balik kna gabby sana
2211,strategy magaling
1387,matching
926,kmusta mark
1023,ilng beses nia ginwa
2183,project ata
2436,pkitang tao
2311,meron jan kumain baso uminom plato
876,tama tukayo
877,hahaha tama pamana mama lyn lyn wala ayos utak ....
2227,sniper yun pla tutukan kitang kita cno pumatay
2335,kailan ordinaryong mangagawa dating senador mayamang negosyante
2615,minions
2149,ndi kalevel wag mong ipilit
1062,hello mark
1547,ser
648,last game kaba boss
2688,mar roxas ganyan humawak martilyo
1100,natatanga sakanila totoo
504,babalik nayang sharon gabe wala iiwan nayang kiko
1978,hes dead next renato casino leni ....
585,boss nakakatawa
573,korea kau dumiretso
1482,hello idol
1265,6years need maka bawi
1403,ahahahahagahahahahahahahahahahahahahahahahahaahahahahahahahahahahahahaha bambam aquino pota
978,wala kabang reaction vid ready love
2046,sus 2017 nilagdaan law 10931 originally proposed former senator bongbong marcos last 2015 credit grabber
1245,blackpink ready love reaction
57,maawa kayo pilipinas
40,parehas rin lutang
1210,inang lenlen masaya kayo
205,diba talino
1494,boss tiga
923,ready love reaction pls
690,raymond sasakyan raymond bus
1824,epal moves
903,talidong
1440,madaling hulaan presidente binoto pramis hahahahahahahahahahaha kennat
1955,fake mas alam pamilya tax issue
576,mahirap mundong ginagalawan natin halos kalahi natin mapang husga kunting kakamali hinuhusgahan agad
1857,keyword pampam
874,sasakyan ginagamit ibang bansa tapus naka bus pilipinas mali ata
675,ambot imo
239,maniniwala fake taxi sumakay
2083,mas mabuti cguro mamimigay kayu bigas naghihirap patayuan nio bahay bubuto ganyan
383,300 mahigit 300 bags napaintan pam
218,gobyernong tapat ayun kinilig tong alipores supporters
349,pinklawans tunay tallano gold
931,pamasko
2561,answer election
2568,malapit election
226,ayaw full disclosure bill mas maharlika fund confidential fund
1068,tanong mahal bilihan ngayo inport ibang bansa sibuyas kinawawa magsasaka pls pakisagot
724,avoid depression
2082,tumakbo politics trabaho
1447,unahin emosyon reading comprehension bow
2102,tanong bat gigil gigil kyo knya magbus man habal habal pake
2189,totoo patay sison
1390,noto dilawan
1475,great president philippines
1329,hahahahhahahahqahhahahahhah
936,omg embarassing shet
2226,great pretender lalakas photo ops pwe
2573,duterte sakalam tunay malasakit
2017,every country martial law dilawan nagpapangit martial law
1295,hello
968,ocfemianapansin naghanap movie toni puro nasa directors club almst tiket pano makakapanood masa
1538,inang lenlen masaya kayo
2244,diba cong sandro cong romualdez nagprincipal author house bill 6398 mapanlinlang maam ces
2204,itulog
2163,ngayun tamang timing crisis mababa presyo financial market
2636,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
1448,salceda rep gsis twg
757,ans canned goods
2386,kyang gawin
2217,fake hero
1625,cno master mind dios alam
1294,atty gadon makapagsasa nyan sayang nanalo honvirus
260,well said
2541,answer election
2572,namn ulit sinulatan sarah kinukunsibti wag malugmok yjng tao yun wag depres
1073,kmusta mark
1561,apolo10
2208,whats big deal galaw suspect god dog smh
1319,please subscribe lenis youtube channel thank
1048,smb
2242,best actor
2639,hes dead next renato casino leni ....
1384,commander chief alam
315,uung kakampink makabayan mhal mahihirap napakasama ugali
167,aminin plano tumakbo 2025 balik laylayan peg
1496,magiging kya 500 ksma magulang
2498,meron tlaga negatron
1289,nakakatakot bam aquino fansign chariz
1643,kmusta mark
1284,maui rec create
689,jusmiyo marimar maka move nasa kabila ilang partido naupo nmn napa bansa
2590,plano palang ganyan bam ???
1088,hahahahhahahaha
1110,please subscribe lenis youtube channel thank
2477,totoo sobrang mahal sibuyas umabot 700 kilo yong simpleng taong soj dimo nasagot proud
966,asan 10k
2210,matatalinong tao silang uto uto
2355,naka gwantes safety
1317,kala mark tahimik
1398,goodluck nalang
828,san kau cya nagpunta ngyon lodz
1685,kaluluwa marcos senior hindi rin matagpuan
2340,pakitang tao tumagal buwan
1151,smb
1664,kol away kaaway buhay samantala kilala amores tao sinaktan
1622,talidong
2491,blurred face dont right post photos zero rights natawa happy pang issue
2470,look whos talking trillanes back talks china yun uncle ipa legalize cpp saf44 madami
1455,cla makapag move
1213,pasko reunion
1509,ahahahhahahahahhahahahhahahah ansakit chan hype !!!!
1938,hoy hindi mauuto
1638,next kiko anjan
1934,bat ganun lakad parang lakad maayus
640,hahahahaha lenlen
1334,nagsimula nagpapa veda making things messed recent panis
2558,cancer
1887,mam miss meeting
1727,unahin emosyon reading comprehension bow
1630,next kiko anjan
1331,popoy
865,idol pengeng skin
1041,talidong
2262,acting tama
1123,tama
910,skill
440,camon shooting yun
181,nman lge tallano gold
2106,wla mgbabago bbm tlga mgbabago
918,walastik
1286,nako bambam sanhi kaguluhan politika hshahsvdvdb
76,never nagsisi binoto marcos umpisa palang bet yang lenii
325,jusko bka mas lalo lugmok
1982,plastic tuwing kampanyahan makikita gaganyan
1969,answer solid waste
2382,artist election
901,duterte nakaupo lalabas anak bonjing
1082,grabe nanay nindo garo man ini ono
716,nabawasan tinik pinas kasamaan hangganan
149,supported nyan future mobile gaming crypto etc
574,sinabi dami dami mahal sibuyas binaboy kasal
371,diba nka car nangangampanya 2028
444,nagkunwari nman ....
310,ayos
1053,boss tiga
808,dont let rise marcos yun
28,bumalik nanaman pagkabobo lenlen history repeats
485,pessos
2035,mas makakapahinga bus masmalaki matitipid bus pauwi bicol
1562,gagawing talk show game show pinas
197,luh naghihirap yarn nagbayad
1925,kilalaning pamilya yayaman
2281,dilawan puzzle
712,mabilog ulo nasa laylayan loka len len dami hanash masabi sumasabay mahihirap nalang pinagloloko
1745,insert
281,yong binoto bmm dhil gold tita akala bibiro meron nman kombinsi knya iboto bbm
1251,niere look
1486,bad sasabihin dasurv
1801,gunggong
2025,bkit hindi nagwawala frankie npaisip dun
698,haha tsaka mostly 31m bomoto mahihirap cla narin nagsabi elite cla mayayaman
2317,mali magpasa
1132,akala aquino bambam1a
379,pinklawan ginamit dds kunwari sisi away marcos duterte takot marcosdu30 2028 parin
1279,hahahahahahaha
1718,pati building paligid tao pati kuryente poste
490,content
1343,gadon
754,wla lutang rin
1990,masama magbus sariling sasakyan
2110,kita matagumpay bam aquino alam natin
1371,bigla narinig gadon
2454,itigil dalawang aquino pangulo ayaw paimbestigahan pamilya aquino kamaganak nagpapatay
2564,alam pirmado agad
2396,sniper yun pla tutukan kitang kita cno pumatay
1552,popoy
708,yehe sapagkat bbm nakatadhana
2379,adik
2330,buhay lolo lola cuneta nuon ganun sayang kakie dna naabutan ata yun
642,bbm sara uniteam 2022
1046,duterte nakaupo lalabas anak bonjing
1375,nakakatakot bam aquino fansign chariz
2690,nanood bam pano lampasuhin nxpe
1737,ramos lods pede kmi lumapit sayo charity nmin girls orphanage pamp sana mapansin salamat godbless
2209,prrd pretensious leader hindi naniniwala ganyan ganyan laging media nakabuntot
49,bee seat
1763,ramos lods pede kmi lumapit sayo charity nmin girls orphanage pamp sana mapansin salamat godbless
719,pesos takoyaki life
882,hnd ppyagan lord pamunuan puso takot dios
1937,words pakitang tao
2156,naunanpa kesa enrile
242,jusme magpahinga nalang kalusugan wag pasukin yun mapapadali lalo stress buhay
23,bayad importante ....
44,solid pbbm vpsara
353,ambot nlng
2557,election haha
2360,one talking fault every presidents except marcos
540,paktay tau jan
2669,pakawala bbm bam aquino loob partido leni anay pugad anay leni queen anay
919,hahahajahha
1112,commander chief alam
873,self righteous woman without manifestation truth sobrang mapanira mapuri
938,potek walastik
2516,tumakbo politics trabaho
2526,patunay nnanatiling tapat robredo cya wlang ibinulsa
1958,ahm .... plastic
83,kunyare yun
2670,cap
2,syempre
2444,way
2518,events occured martial bad human rights abuses corruption killings
2423,ipokrito
928,kinamatay late pres noynoy covid
525,pam bam
1383,want christmas
752,wow nice lods
2433,kawawa
457,rank niyo bam
1712,rence pareact kayyo ready love blackpink pubg
995,tas nagpost bam aquino edited pic tas mukha bambam
1087,indorser
2509,naitinulong bansa
293,far concern brains emotions puro drawing
50,epokrita
2581,right timing pbbm president maraming investor nagtitiwala knya dala pbbm lakas knyang ama fpfm
2249,galing joke
1039,"sana jowa sandro marcos jillian robredo total crush nmn magkakapatid sandro marcos ehh ,,, unite"
609,gabby nagmana pati kabaitan suplado
1940,pink
1683,merry christmas mark keep safe always god bless family
1410,grabe nanay nindo garo man ini ono
626,yaw pang tumigil
1647,skill
2460,congresswoman lagi bus search reason bus
1679,ahahahhahahahahhahahahhahahah ansakit chan hype !!!!
1585,krazy angkas
298,tanong kng buhay kris nyan
341,2028 election
1748,indorser
1427,maui rec create
2152,meron tlaga negatron
2222,nagtago
706,yeh
673,mabuhay pilipinas
662,mark keep safe always god bless
308,sslubong welcome party knya
1388,golden era hahaha makabili basic needs mahal paranf goldnag bigas nbigyan knb tallano gold napala
672,paawa mapansin
1204,revtax mayor palang pinarada bangkay kumander parago
2461,kampanya
195,canned goods negosyo
1297,golden era hahaha makabili basic needs mahal paranf goldnag bigas nbigyan knb tallano gold napala
69,pong team niyo
2530,look whos talking trillanes back talks china yun uncle ipa legalize cpp saf44 madami
2228,kilala lutang mark
2393,yawa
1523,hahahahaha badtrip
2513,hihihihi kya len len kawawa ksi cnunod nia bambie hihihi
278,bro tama funny baman tlga respect tama bag comment dto sna dmo pinakita muka ksi pinag
1776,sbi bah
1515,saang mall
201,happy
299,plastic !!!!
2634,asa lugaw
814,mapapel kumakagat tao lumang style nkatsinelas
1386,pang sstraw content
2048,magpasa nalang law tandaan bam wag wag tatakbong presidente magiging joke bansa
1479,iwan
1051,bad sasabihin dasurv
1648,????
1176,wala
411,dios miyo namakabalik dilawan
1465,anu bam asporing president aquino clan
1639,speech
844,hehehe cguro viral
659,gs2 ata magtry bumyahi bus hindi ginagamit car
797,fyi tumulong tnc dota players kuku armel gabbi tims maka punta ti9
1558,gita
834,asking binuto
1080,hahahah
535,ipapahamak kabataan wala poder magulang puro galit nasa puso
1711,potek walastik
1016,pdaf legal
2697,sobrang talino lodi lock utak
1864,cosplayer
2094,plastic ...... pakitang tao .....
1250,lol adik
1489,kalabanin dilawan kim jong
2215,magaral hindi nabubudol masasamang nilalang
243,saya sayasa jollibee magaalmusal mmya work
803,lam bambi member lgbt hayaan hindi alam dasal kaluluwa namatay
1407,beb beyonce fan renaissance !!!
1788,ibigsabihin hindi kilala oldies
153,puro paganda dyansa nagsimula paghihirap nang pinas sinisisi bagong president nahirapan ibangon lugmok
1806,wala kna bam
107,300
1135,hahahahahhahaha shuta
653,nagwa aquino magdakadak
1825,manny withdraw malay bbm nanalo gawing kang sec department water
1709,ahahahahagahahahahahahahahahahahahahahahahahaahahahahahahahahahahahahaha bambam aquino pota
546,malayo eleksyon lutang
355,nonsense answer bang imanage pilipinas lutang
