,features_string_format
249,salamat bam aquino batas nagsisigurong malilimutan maiiwan pagabot pangarap kabataang pilipino makapagtapos
781,work
493,canned goods hoping praying mapili maraming slamat negosyo
475,pesos sana manalo
281,solid neto bam aquino fan esports since dota days
1162,past muna taong maliban nalng kakain pagpag
733,malapit election
339,jan napa follow
917,traydor
507,lenis campaign manager bam aquino
653,nuod recruit hayst
1007,leni lugaw
611,penge pang skin aquino
433,31million tawa
299,solid tlga esports
951,kesa aquino fund pautang ibang bansa interest
28,man dilawan appreciate apperance like suportado esport specially
115,thanks support
50,bam fight ipag manindidigan gayahin nonoy
102,like bam
449,pagawa bahay nanay leni
568,sagot pesos
1192,pictorial
705,bbm
875,plastic pta
364,bam .... galing mlbb fan
1139,yong ibang vlogger confirmed pension post agad kya natural react kaming pensioner
244,solid neto bam aquino fan esports since dota days
426,election nanaman
793,iiyakan dyan pension funds samantalang matagal ginagamit pera hindi alam
221,strategy magaling
829,nope
607,salamat pangalan iboto
53,congrats bam good job
925,ipokrito
641,niyo iniisip kukunin pension pera intindihin niyong mabuti sinabi cong sando interview
657,koto
342,maybe hes fan sport need negative comments people
985,nope
351,nakaka miss senatorbam supporting games
1030,tama kau ayaw kinukontra
317,dyan susuportahan kita
184,love mritess
223,thank bam !!!!
20,magaral hindi nabubudol masasamang nilalang
677,lopangu
554,siladaw
523,maboto
463,election haha
95,sandro support trust
470,content wala trabaho ?!?
482,san ginaganap
264,nice nice
1019,bidabida
994,kaylan oknapaka bitter iyak nlang matagal2 mka pasok
75,thank bam super appreciated suporta ninyo esports
1181,great pretender
1146,konek netong aquino esports
1097,anti poor
