,features_string_format
1345,galit kakampinks bam aquino galing idea
864,gita
1286,sinungaling
330,asking binuto
858,sorry
173,main boss
704,ganda
976,wow nka wheel chair ngaun
540,love kayo
796,early
1145,kakampinks malabo patis labo manalo
124,bam .... galing mlbb fan
453,supporting esports bam
691,mom
1148,meeting
1161,aahh alam kuna sagot iyak
785,forst
350,gamer bam malakas sumuporta esports
1022,ewan sayo bambi este bambam
1200,ayan
73,nice
1371,ninoy hero true filipino love country much sacrificed life like rizal martyrdom
561,twin brother aquino
583,6years need maka bawi
1299,naka gwantes safety
763,yes ibang .... bodol
812,early
520,twin brother aquino
359,nilabas maharlika wealth fund pinaliwanagan muna taong bayan ayan imbis maayos sana dami tuloy kontra
630,mom
833,bagay boy 10k
922,asan 10k
1179,house house kayo ulit election
319,1v1 boss
1137,ngayun tamang timing crisis mababa presyo financial market
1426,mapag panggap
326,kapatid kuyan
850,nanay cristy
91,bam nuod kayo blacklist game mas crowd
184,answer pesos
988,baby fuentes bambu oil
111,thank free tuition every university nakaipon magulang pangpagawa maliit bahay probinsya
1489,magmeeting hoy inconsistent script sinasabi anti need natin meeting halatang alam kosa naten
303,nakaka miss senatorbam supporting games
872,please subscribe lenis youtube channel thank
765,nanay kuya jobert kristy fermin
351,along senators villanueva ejercito gatchalian angara legarda senator recto principal author
174,ayos bam mas mabibigyan pansin lalo esports
325,far know bam natulong problema visa pinoy players international esports
169,nice cosplay
1389,anti poor
989,skill
1063,sovereign wealth fund done lot countries uae china etc stop acting like original idea someone
311,pumayat bam paramg tumaas balikat
1322,sus 2017 nilagdaan law 10931 originally proposed former senator bongbong marcos last 2015 credit grabber
918,hello garci yuta
14,thank bam
377,idol shout nman bsta pbbm sakalam
10,cla maghari antay cla kylan
1429,halata paghawak plang martilyo
1320,flush inedoro
720,love kayo
778,pati building paligid tao pati kuryente poste
786,2016 yun effect fpgma
1080,fake news carried haters kakampinks spread fools kakampinks accepted idiot kakampinks
339,wag idamay gsis
811,hello garci yuta
618,skill
1091,mas mas magaling hihintay 2022 dun nalang pipili
379,paki alam contribution gsis
688,tama
86,ayos bam mas mabibigyan pansin lalo esports
960,skill
406,particular team kayong sinusuportahan
489,pwede caster
214,solid tlga esports
1373,gagawing 400
366,tama dyan nalng focus suportahan mplph
1454,hindi napanood explain gsis hindi gagalawin pension matagal ininvest gsis contribution
932,atty gadon pasok
601,esses
655,gita
245,honorable people indeed put full trust
22,particular team kayong sinusuportahan
497,hindi gets mkkuda siempre
1350,masisispag
1003,hawak plang martilyo alam agad
1279,scam
1226,palengke kamukha ninoy lugaw sana
959,realtalk
613,pension kukunin
594,negosyante aasenso subukan magnegosyo
100,manage team kesa senador bam esports
1343,prank tenisting nilackung effective paba
415,bam
278,ayaw full disclosure bill mas maharlika fund confidential fund
996,bagay boy 10k
779,hello garci yuta
881,talidong
650,salceda rep gsis twg
307,thanks bam supporting filipino players
737,asan 10k
200,pabuhat lods bam tank user
571,anu bam asporing president aquino clan
629,hindi sandro nagpanuakala 1st lady lisa araneta marcos
6,nakakaalam baam aquino senador dati support esport community pinas
1332,patawa ehh
64,thank supporting mlbb scene
1351,sana mkapasok dilawan 2022
461,maharlika wealth fund
1062,bata wala nang maniniwala sainyo
25,bam pong team sinusuportahan niyo
477,dota days noob kuku alam natin bam nasupporta esports bam
241,bruhc vegan
298,bam .... galing mlbb fan
97,koto
145,along senators villanueva ejercito gatchalian angara legarda senator recto principal author
360,!!!!
1033,plastic sagot
409,vegan
348,pesos manifesting win
756,esses
857,namamasko
17,wow
1349,sana
1028,man kayo bamaquino
1071,wala ata pampa sweldo yankaya gawa
725,tres flower
371,pesos love takoyaki super fan masarap sulit
1250,bayani gaya boss binabaril luneta bayani diba pin
189,bam staunch supporter esports video game development industry philippines search niyo time ambag esport
1300,tapos prrd pumirma hnd pinirmahan pinsan antagal kasama iisang administrasyon budget
708,bagay boy 10k
281,answer vegan
1125,palitan
378,canned goods
1092,maglaban sandro bam sandro
1098,answer plastic
109,thank send bam dota esports wwlang kupas supports
213,sesh
990,mom
1009,dilawan pink never wal kayong mabubudol
1315,pasikat
1024,magdebate nalang sandro mas exciting yun
1174,really need tondo umay
1319,leni wala bang sawa nako lugaw namn champorado wag puro lugaw bagyo nanga babagyuhin lugaw wag ganun
36,saya sana
1336,negative campaign nangyari
460,canned goods hoping praying mapili maraming slamat negosyo
619,anu bam asporing president aquino clan
1271,pta officers
1221,answeracting nasa shooting taong nasa litrato
979,boy adik author gawing university recto
797,nanay kuya jobert kristy fermin
572,ganda
689,forst
27,oky kaniila lods
838,love mritess
1296,greatpretender
1305,solo !!!
902,padding
818,tres flower
387,since dota days bam thanks always supporting esports philippines
731,wow nka wheel chair ngaun
388,former bam aquino naghehelp man esport players natin makasecure visa compete internationally
105,pogi bam aquino
1095,pano magrush bills involved pera
526,early
1252,kaloka nde maloloko plastik
1275,san kukunin fund aquino gsis etc sana masagaot
1416,maharlika investment indi wealth
265,bam great job organized ignites volunteerism heart rich poor filipinos mock cant deny
668,pension kukunin
1158,project jusko
870,hindi sandro nagpanuakala 1st lady lisa araneta marcos
950,salceda rep gsis twg
389,pabuhat lods bam tank user
126,pesos takoyaki life
1138,minahal asan cla ngaun
1143,answer magnanakaw
820,gadon
1257,gapalakas gamers
1068,peke lnng
516,salceda rep gsis twg
937,clue
667,ganda
753,pangit lbms google greatest thief world
882,boy adik author gawing university recto
1465,cartoons
186,1v1 boss
